Codice;Priorità;Titolo_ES;Titolo_EN;Num_Domande;Domande_ES;Domande_EN;Categoria
Op.acc.6;HIGH;¿Se dispone implementados mecanismos de control de acceso, alineados con el proceso de altas y bajas de empleados / usuarios internos de la organización?;Are access control mechanisms implemented, aligned with the organization's employee/internal user registration and cancellation process?;9;¿Se activan las credenciales únicamente cuando éstas están bajo el control exclusivo y efectivo del usuario, o se fuerza un cambio de credenciales al primer acceso del mismo? | Antes de proporcionar las credenciales a los usuarios, ¿estos han conocido y aceptado la política de seguridad del organismo en los aspectos que les afecten? | ¿Reconoce el usuario que ha recibido las credenciales y que conoce y acepta las obligaciones que implica su tenencia, en particular, el deber de custodia diligente, protección de su confidencialidad y notificación inmediata en caso de pérdida? | ¿Se cambian las credenciales con la periodicidad marcada por la política de la organización? | ¿Se retiran y deshabilitan las credenciales cuando la entidad (persona, equipo o proceso) que se autentica termina su relación con el sistema? | ¿Se deshabilitan o regeneran las credenciales cuando se detecta o sospecha su pérdida o revelación a personas no autorizadas? | ¿Se previenen ataques que puedan revelar información del sistema sin llegar a acceder al mismo? ¿la información suministrada en los accesos se restringe a la mínima imprescindible? | ¿Se limita el número de intentos permitidos, bloqueando la oportunidad de acceso una vez superado tal número, requiriendo la intervención de los administradores de seguridad para reactivar la cuenta? | ¿Informa el sistema al usuario de sus obligaciones inmediatamente después de obtener éste el acceso?;Are credentials activated only when they are under the user's exclusive and effective control, or is a credential change forced upon first access? | Before providing credentials to users, have they known and accepted the organization's security policy in the aspects that affect them? | Does the user acknowledge that they have received the credentials and that they know and accept the obligations that their possession entails, in particular, the duty of diligent custody, protection of their confidentiality and immediate notification in the event of loss? | Are credentials changed with the periodicity established by the organization's policy? | Are credentials removed and disabled when the authenticating entity (person, computer, or process) terminates its relationship with the system? | Are credentials disabled or regenerated when their loss or disclosure to unauthorized persons is detected or suspected? | Are attacks that could reveal system information without actually accessing it being prevented? Is the information provided in the accesses restricted to the minimum essential? | Is the number of allowed attempts limited, blocking the access opportunity once that number is exceeded, requiring the intervention of security administrators to reactivate the account? | Does the system inform the user of their obligations immediately after gaining access?;ANEXO II -MARCO OPERACIONAL
Op.acc.6.r1;HIGH;¿Se emplea una contraseña como mecanismo de autenticación, con garantías razonables?;Is a password used as an authentication mechanism, with reasonable guarantees?;2;Si se emplea una contraseña como mecanismo de autenticación, ¿se verifica que el acceso se realiza únicamente desde zonas controladas y sin atravesar zonas no controladas? | Si se emplean contraseñas o similares, ¿se imponen normas de longitud, complejidad mínima y robustez, frente a ataques de adivinación?;If a password is used as an authentication mechanism, is it verified that access is only from controlled areas and without passing through uncontrolled areas? | If passwords or similar are used, are standards of length, minimum complexity and robustness imposed against guessing attacks?;ANEXO II -MARCO OPERACIONAL
Op.acc.6.r2;HIGH;¿Se requiere un segundo factor tal como «algo que se tiene», es decir, un dispositivo, una contraseña de un solo uso (OTP, en inglés) como complemento a la contraseña de usuario, o «algo que se es»?;Is a second factor required such as “something you have”, i.e. a device, a one-time password (OTP) to complement the user password, or “something you are”?;0;;;ANEXO II -MARCO OPERACIONAL
Op.acc.6.r3;HIGH;¿Se emplean certificados cualificados como mecanismo de autenticación?;Are qualified certificates used as an authentication mechanism?;1;¿Se encuentra protegido el uso del certificado mediante un segundo factor, del tipo PIN o biométrico?;Is the use of the certificate protected by a second factor, such as PIN or biometric?;ANEXO II -MARCO OPERACIONAL
Op.acc.6.r4;HIGH;¿Se emplean certificados cualificados en soporte físico (tarjeta o similar) como mecanismo de autenticación?;Are qualified certificates on physical support (card or similar) used as an authentication mechanism?;1;¿Se encuentra protegido el uso del certificado mediante un segundo factor, del tipo PIN o biométrico?;Is the use of the certificate protected by a second factor, such as PIN or biometric?;ANEXO II -MARCO OPERACIONAL
Op.acc.6.r5;HIGH;¿Se registran las trazas de acceso y se informa de la más reciente al usuario?;Are access traces recorded and the most recent traces reported to the user?;2;¿Se registran tanto los accesos fallidos, como los que han tenido éxito? | ¿Se informa al usuario del último acceso realizado con su identidad?;Are both failed and successful accesses recorded? | Is the user informed of the last access made with their identity?;ANEXO II -MARCO OPERACIONAL
Op.acc.6.r6;HIGH;¿Se han definido aquellos puntos en los que el sistema requiere de una renovación de la autenticación del usuario, mediante identificación singular, no bastando con la sesión establecida?;Have those points been defined at which the system requires a renewal of the user's authentication, through unique identification, while the established session is not enough?;0;;;ANEXO II -MARCO OPERACIONAL
Op.acc.6.r7;HIGH;¿Se suspenden las credenciales tras un periodo definido de no utilización?;Are credentials suspended after a defined period of non-use?;0;;;ANEXO II -MARCO OPERACIONAL
Op.acc.6.r8;HIGH;¿Se requiere un doble factor de autenticación para el acceso desde zonas no controladas (R2, R3 o R4)?;Is two-factor authentication required for access from uncontrolled areas (R2, R3 or R4)?;0;;;ANEXO II -MARCO OPERACIONAL
Op.acc.6.r9;HIGH;Respecto a los accesos remotos ¿Se contemplan aspectos de seguridad y autorización?;Regarding remote access, are security and authorization aspects considered?;5;¿Se han implementado los requisitos de seguridad que resultan de la aplicación de la ITS de Interconexión de sistemas de información, cuando ésta se promulgue, o en su defecto la guía CCN-STIC 811 sobre Interconexión en el ENS? | ¿Los accesos remotos son autorizados por la autoridad correspondiente en la organización? | ¿Está cifrado el tráfico de los accesos remotos? | Si la utilización de determinado acceso remoto no se produce de manera constante, ¿se encuentra éste deshabilitado, volviéndole a habilitar únicamente cuando sea necesario? | ¿Se recogen registros de auditoría de este tipo de conexiones?;Have the security requirements resulting from the application of the ITS on Interconnection of information systems, when it is promulgated, or failing that, the CCN-STIC 811 guide on Interconnection in the ENS, been implemented? | Are remote accesses authorized by the corresponding authority in the organization? | Is remote access traffic encrypted? | If the use of a certain remote access does not occur constantly, is it disabled, re-enabling it only when necessary? | Are audit logs collected for these types of connections?;ANEXO II -MARCO OPERACIONAL
Op.pl.1;HIGH;Análisis de riesgos;Risk analysis;0;;;ANEXO II -MARCO OPERACIONAL
Op.pl.1;HIGH;¿Se dispone de un análisis de riesgos documentado, cuya última iteración se ha realizado en fecha adecuada?;Is there a documented risk analysis, the last iteration of which was carried out on an appropriate date?;7;¿Se han detectado cambios relevantes en el sistema de información que hayan requerido realizar una nueva iteración del análisis de riesgos antes de que hubiera transcurrido un año desde la anterior? | ¿Se dispone de un acta del Comité de Seguridad aprobando la última iteración del análisis de riesgos, las salvaguardas empleadas para mitigar los riesgos considerados inaceptables, así como los riesgos residuales resultantes? | ¿Se han identificado los activos esenciales (servicios e información que éstos manejan), así como el resto de activos más relevantes del sistema de información? | ¿Se han identificado las amenazas más probables respecto al sistema de información y sus activos más relevantes? | ¿Se han determinado las salvaguardas que pueden mitigar las posibles amenazas para el sistema de información? | ¿Se han identificado y valorado los principales riesgos residuales que permanecen tras la aplicación de las salvaguardas? | ¿Se ha definido un plan de tratamiento de riesgos para mitigar los riesgos?;Have relevant changes been detected in the information system that have required a new iteration of the risk analysis to be carried out before one year has passed since the previous one? | Is there a Safety Committee minute approving the latest iteration of the risk analysis, the safeguards used to mitigate risks deemed unacceptable, as well as the resulting residual risks? | Have the essential assets (services and information they handle) been identified, as well as the rest of the most relevant assets of the information system? | Have the most likely threats to the information system and its most relevant assets been identified? | Have safeguards been determined that can mitigate potential threats to the information system? | Have the main residual risks that remain after the application of safeguards been identified and assessed? | Has a risk treatment plan been defined to mitigate risks?;ANEXO II -MARCO OPERACIONAL
Op.pl.1.r1;HIGH;Para categoría MEDIA, ¿Se ha realizado un análisis de riesgos semiformal, con una metodología específica en base a un catálogo básico de amenazas y una semántica definida?;For MEDIUM category, has a semi-formal risk analysis been carried out, with a specific methodology based on a basic catalog of threats and defined semantics?;5;Además de identificarse, ¿se valoran cualitativamente los activos más valiosos del sistema de información? | ¿Se ha definido un umbral de valor del riesgo a partir del cual se considera éste inaceptable (apetito de riesgo)? | Además de identificarse, ¿se cuantifican los impactos que podrían llegar a producir las amenazas más probables? | Además de determinarse, ¿se han valorado las salvaguardas que se emplearán para protegerse de las amenazas en base al valor del riesgo que éstas representan? | ¿Se ha valorado el riesgo residual resultante de aplicar las salvaguardas?;In addition to being identified, are the most valuable assets of the information system qualitatively assessed? | Has a risk value threshold been defined beyond which it is considered unacceptable (risk appetite)? | In addition to being identified, are the impacts that the most likely threats could produce quantified? | In addition to being determined, have the safeguards that will be used to protect against threats been assessed based on the value of the risk they represent? | Has the residual risk resulting from applying the safeguards been assessed?;ANEXO II -MARCO OPERACIONAL
Op.pl.1.r2;HIGH;Para categoría ALTA, ¿se ha realizado un análisis de riesgos formal, con una metodología específica en base a un fundamento matemático estandarizado y reconocido internacionalmente?;For HIGH category, has a formal risk analysis been carried out, with a specific methodology based on a standardized and internationally recognized mathematical foundation?;3;¿Se han valorado no solo las amenazas más probables, sino también las posibles dentro de lo razonable? | ¿Se ha comparado el riesgo residual con el apetito de riesgo para determinar si todavía están presentes riesgos inaceptables por la organización que deban seguir tratándose? | Además de valorarse el riesgo residual, ¿se ha asumido formalmente éste?;Have not only the most likely threats been assessed, but also the reasonably possible ones? | Has the residual risk been compared to the risk appetite to determine whether risks unacceptable to the organization are still present and need to continue to be addressed? | In addition to assessing the residual risk, has it been formally assumed?;ANEXO II -MARCO OPERACIONAL
Op.pl.2;HIGH;Arquitectura de seguridad;Security architecture;0;;;ANEXO II -MARCO OPERACIONAL
Op.pl.2;HIGH;¿Se dispone de documentación y diagramas en el ámbito del sistema de información, incluyendo instalaciones físicas, equipos, comunicaciones y líneas de defensa?;Are documentation and diagrams available in the area of ​​the information system, including physical facilities, equipment, communications and lines of defense?;4;¿Se dispone de documentación de las instalaciones, incluyendo áreas y puntos de acceso? | ¿Se dispone de documentación y diagramas de las líneas de defensa, puntos de interconexión a otros sistemas o a otras redes, incluyendo internet o redes públicas en general, cortafuegos, balanceadores, enrutadores, segmentación de redes, etc.? | Para quienes desarrollan software (soluciones con cierta complejidad como puede ser un ERP para gestionar ayuntamientos), ¿se dispone de diagramas con la estructura de capas y módulos de la solución, incluyendo las capas de integración o interfaces para comunicarse con otras soluciones o elementos, como pueden ser firma electrónica, interoperabilidad, etc.? | ¿Se dispone de documentación de los sistemas de identificación y autenticación de usuarios, incluyendo el uso de claves concertadas, contraseñas, tarjetas de identificación, biometría, u otras de naturaleza análoga, y el uso de ficheros o directorios para autenticar al usuario y determinar sus derechos de acceso, incluyendo el detalle de los protocolos de acceso empleados como, por ejemplo, LDAP?;Is documentation of the facilities available, including areas and access points? | Is there documentation and diagrams of the lines of defense, interconnection points to other systems or other networks, including the Internet or public networks in general, firewalls, balancers, routers, network segmentation, etc.? | For those who develop software (solutions with a certain complexity such as an ERP to manage town halls), are there diagrams with the structure of layers and modules of the solution, including the integration layers or interfaces to communicate with other solutions or elements, such as electronic signature, interoperability, etc.? | Is there documentation of the user identification and authentication systems, including the use of agreed keys, passwords, identification cards, biometrics, or others of a similar nature, and the use of files or directories to authenticate the user and determine their access rights, including details of the access protocols used, such as, for example, LDAP?;ANEXO II -MARCO OPERACIONAL
Op.pl.2.r1;HIGH;¿Se dispone de un sistema de gestión de seguridad de la información aplicado sobre el/los sistemas(s) de información?;Is there an information security management system applied to the information system(s)?;3;¿Se realizan auditorías internas de cumplimiento del ENS, contemplando todos los requisitos aplicables según la categoría del sistema y las posibles exclusiones justificadas, si se materializan éstas el año que no corresponde la auditoría de certificación (que es bienal)? | ¿Se realizan auditorías internas de cumplimiento del ENS, contemplando al menos la mitad de los requisitos aplicables según la categoría del sistema y las posibles exclusiones justificadas, si se materializan éstas anualmente? | ¿Se realiza el seguimiento de las consecuentes acciones correctivas y de mejora derivadas de las auditorías internas, persiguiendo la mejora continua del sistema?;Are internal ENS compliance audits carried out, taking into account all applicable requirements according to the category of the system and possible justified exclusions, if these materialize in the year in which the certification audit does not correspond (which is biennial)? | Are internal ENS compliance audits carried out, contemplating at least half of the applicable requirements according to the category of the system and possible justified exclusions, if these materialize annually? | Is the consequent corrective and improvement actions derived from internal audits monitored, pursuing continuous improvement of the system?;ANEXO II -MARCO OPERACIONAL
Op.pl.2.r2;HIGH;¿Se dispone de un sistema de gestión de seguridad de la información, orientado a la mejora continua, aplicado sobre el/los sistemas(s) de información?;Is there an information security management system, aimed at continuous improvement, applied to the information system(s)?;3;¿Se realizan auditorías internas de cumplimiento del ENS, contemplando todos los requisitos aplicables según la categoría del sistema y las posibles exclusiones justificadas, si se materializan éstas el año que no corresponde la auditoría de certificación (que es bienal)? | ¿Se realiza el seguimiento de las consecuentes acciones correctivas y de mejora derivadas de las auditorías internas, persiguiendo la mejora continua del sistema? | ¿Se realizan otras acciones encaminadas a la mejora continua del sistema?;Are internal ENS compliance audits carried out, taking into account all applicable requirements according to the category of the system and possible justified exclusions, if these materialize in the year in which the certification audit does not correspond (which is biennial)? | Is the consequent corrective and improvement actions derived from internal audits monitored, pursuing continuous improvement of the system? | Are other actions carried out aimed at the continuous improvement of the system?;ANEXO II -MARCO OPERACIONAL
Op.pl.2.r3;HIGH;¿Se dispone de controles técnicos internos para aumentar la seguridad?;Are internal technical controls available to increase security?;4;¿Los controles técnicos internos validan los datos de entrada, incluyendo rangos y formatos válidos? | ¿Los controles intermedios se aplican a la interoperabilidad entre aplicaciones del Sistema de Información, verificando rangos y formatos válidos de intercambio de información, rechazando aquellos no previstos? | ¿Los mensajes de error de las aplicaciones, especialmente las del tipo web expuestas a Internet, proporcionan únicamente un código que pueda consultarse al CAU o al servicio de soporte, sin mostrar información explícita y detallada del tipo de error producido, que pueda darle pistas a un posible atacante? | ¿Los mensajes de error en la autenticación de un usuario, se limitan a señalar que alguno de los datos introducido no es correcto o, por el contrario, identifica explícitamente que el error está en alguno concreto de ellos (por ejemplo, en el ID de usuario o en la contraseña)?;Do internal technical controls validate input data, including valid ranges and formats? | Do intermediate controls apply to interoperability between Information System applications, verifying valid ranges and formats of information exchange, rejecting those not foreseen? | Do the error messages of applications, especially those of the web type exposed to the Internet, only provide a code that can be consulted to the CAU or the support service, without showing explicit and detailed information on the type of error produced, which could give clues to a possible attacker? | Are the error messages in user authentication limited to indicating that some of the data entered is not correct or, on the contrary, do they explicitly identify that the error is in some specific data (for example, in the user ID or password)?;ANEXO II -MARCO OPERACIONAL
Op.pl.3;HIGH;Adquisición de nuevos componentes;Acquisition of new components;0;;;ANEXO II -MARCO OPERACIONAL
Op.pl.3;HIGH;¿Se realiza una planificación previa a la adquisición de nuevos componentes del sistema, teniendo en cuenta, por ejemplo, la obsolescencia de los actualmente en producción, la finalización de contratos, los cambios del contexto, etc.?;Is planning carried out prior to the acquisition of new system components, taking into account, for example, the obsolescence of those currently in production, the end of contracts, changes in the context, etc.?;4;¿El proceso de adquisición tiene en cuenta las conclusiones del análisis de riesgos, o bien trae a causa que deba realizarse una nueva iteración de dicho análisis, debido a los cambios que introduce en el sistema de información? | Para los nuevos componentes a ser adquiridos ¿se verifica que sean acordes o compatibles con la arquitectura de seguridad implementada o escogida para la organización? | ¿Se dispone de un proceso formalizado de planificación para la adquisición de nuevos componentes? | ¿El proceso de adquisiciones contempla conjuntamente las necesidades de financiación, de formación y las técnicas (características, configuración, soporte y mantenimiento)?;Does the acquisition process take into account the conclusions of the risk analysis, or does it result in a new iteration of said analysis having to be carried out, due to the changes it introduces in the information system? | For the new components to be acquired, is it verified that they are consistent or compatible with the security architecture implemented or chosen for the organization? | Is there a formalized planning process for the acquisition of new components? | Does the procurement process take into account financial, training and technical needs (features, configuration, support and maintenance)?;ANEXO II -MARCO OPERACIONAL
Op.pl.4;HIGH;Dimensionamiento / gestión de la capacidad;Sizing/capacity management;0;;;ANEXO II -MARCO OPERACIONAL
Op.pl.4;HIGH;Con carácter previo a la entrada en producción del sistema ¿se consideran las necesidades de capacidad?;Prior to the system entering production, are capacity needs considered?;6;¿Se han considerado las necesidades de software y hardware, al menos con carácter previo a la puesta en explotación de los sistemas? | ¿Se ha realizado un estudio respecto a las necesidades de almacenamiento de información durante procesamiento y durante el período que deba retenerse, al menos con carácter previo a la puesta en explotación de los sistemas? | ¿Se ha realizado un estudio respecto a las necesidades de capacidad de procesamiento, ya sea en hosts físicos, entornos virtualizados, o entornos de computación en la Nube, al menos con carácter previo a la puesta en explotación del sistema? | ¿Se ha realizado un estudio respecto a las necesidades de comunicaciones (líneas y ancho de banda necesario), al menos con carácter previo a la puesta en explotación del sistema? | ¿Se ha realizado un estudio respecto a las necesidades de personal y carga de trabajo en cuánto a su número y cualificaciones profesionales, al menos con carácter previo a la puesta en explotación del sistema? | ¿Se ha realizado un estudio respecto a las necesidades de instalaciones, al menos con carácter previo a la puesta en explotación del sistema?;Have the software and hardware needs been considered, at least prior to putting the systems into operation? | Has a study been carried out regarding the storage needs of information during processing and during the period that must be retained, at least prior to putting the systems into operation? | Has a study been carried out regarding processing capacity needs, whether in physical hosts, virtualized environments, or Cloud computing environments, at least prior to putting the system into operation? | Has a study been carried out regarding communications needs (lines and necessary bandwidth), at least prior to putting the system into operation? | Has a study been carried out regarding personnel needs and workload in terms of their number and professional qualifications, at least prior to putting the system into operation? | Has a study been carried out regarding the needs of facilities, at least prior to putting the system into operation?;ANEXO II -MARCO OPERACIONAL
Op.pl.4.r1;HIGH;¿Se puede evidenciar que el estudio de capacidad no solo se realiza con carácter previo a la entrada en producción del sistema, sino que se mantiene actualizado durante todo el ciclo de vida del mismo?;Can it be shown that the capacity study is not only carried out prior to the entry into production of the system, but that it is kept updated throughout its entire life cycle?;2;¿Se puede evidenciar la existencia de un Plan de Capacidad, que se mantiene actualizado durante todo el ciclo de vida del sistema? | ¿Se emplean herramientas y recursos para la monitorización de la capacidad?;Can the existence of a Capacity Plan be evidenced, which is kept updated throughout the system's life cycle? | Are tools and resources used to monitor capacity?;ANEXO II -MARCO OPERACIONAL
Op.pl.5;HIGH;Componentes certificados;Certified components;0;;;ANEXO II -MARCO OPERACIONAL
Op.pl.5;HIGH;¿Se utiliza el Catálogo de Productos y Servicios de Seguridad de las Tecnologías de la Información y Comunicación (CPSTIC) del CCN, para seleccionar los productos o servicios suministrados por un tercero que deban formar parte de la arquitectura de seguridad del sistema?;Is the Catalog of Information and Communication Technology Security Products and Services (CPSTIC) of the CCN used to select the products or services supplied by a third party that should be part of the system's security architecture?;4;¿Se emplea el catálogo CPSTIC para seleccionar productos de terceros, o servicios externos, que formen parte de la arquitectura de seguridad? | ¿Caso de no existir en el catálogo CPSTIC, o ante cualquier causa de fuerza mayor, se emplean otros productos certificados según se indica en el art. 19 del RD 311/2022, de 3 de mayo? | Si el sistema suministra un servicio de seguridad a un tercero, bajo el alcance del ENS, ¿el producto o productos que se suministren dicho servicio han sido incluidos en el CPSTIC tras superar un proceso de cualificación, o bien aportan una certificación que cumple con los requisitos funcionales de seguridad y de aseguramiento de acuerdo a lo establecido en el art. 19 del RD 311/2022, de 3 de mayo? | ¿En los casos en los que no existan productos o servicios certificados se tienen en cuenta las taxonomías de referencia y se han formalizado qué criterios se van a llevar a cabo por los responsables de la organización?;Is the CPSTIC catalog used to select third-party products, or external services, that are part of the security architecture? | If it does not exist in the CPSTIC catalogue, or in the event of any cause of force majeure, are other certified products used as indicated in art. 19 of RD 311/2022, of May 3? | If the system provides a security service to a third party, under the scope of the ENS, has the product or products that provide said service been included in the CPSTIC after passing a qualification process, or do they provide a certification that meets the functional security and assurance requirements in accordance with the provisions of art. 19 of RD 311/2022, of May 3? | In cases where there are no certified products or services, are the reference taxonomies taken into account and have the criteria to be carried out by those responsible for the organization been formalized?;ANEXO II -MARCO OPERACIONAL
Op.pl.5.r1;HIGH;¿Se protege la información frente a amenazas TEMPEST de acuerdo a la normativa en vigor?;Is information protected against TEMPEST threats in accordance with current regulations?;0;;;ANEXO II -MARCO OPERACIONAL
Op.pl.5.r2;HIGH;¿Cada producto y servicio incluye en su descripción una lista de componentes software empleados (módulos, librerías, etc.), acorde a lo especificado en [mp.sw.1.r5]?;Does each product and service include in its description a list of software components used (modules, libraries, etc.), according to what is specified in [mp.sw.1.r5]?;0;;;ANEXO II -MARCO OPERACIONAL
Mp.com.1;MEDIUM;Perímetro seguro;Secure perimeter;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.1.1;MEDIUM;¿Se dispone de algún sistema que asegure el perímetro lógico? NOTA: Dispositivos del tipo Cortafuegos, o de naturaleza similar.;Is there a system that ensures the logical perimeter? NOTE: Firewall type devices, or similar in nature.;4;¿Se dispone de un sistema de protección perimetral que separe la red interna del exterior? | Caso de disponerse de varias sedes o centros de datos ¿disponen todos ellos de protección perimetral? | El sistema empleado para asegurar el perímetro ¿es atravesado por todo el tráfico, sin excepción? | ¿Requieren estar autorizados previamente todos los flujos de información a través del perímetro de seguridad de la organización?;Is there a perimeter protection system that separates the internal network from the outside? | If there are several headquarters or data centers, do they all have perimeter protection? | Is the system used to secure the perimeter crossed by all traffic, without exception? | Do all information flows through the organization's security perimeter require prior authorization?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.2;MEDIUM;Protección de la confidencialidad;Confidentiality protection;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.2;MEDIUM;¿Se emplean redes privadas virtuales cuando la comunicación discurre por redes fuera del propio dominio de seguridad, por lo que deba cifrarse?;Are virtual private networks used when communication runs over networks outside the security domain itself, so it must be encrypted?;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.2.r1;MEDIUM;¿Se emplean algoritmos y parámetros autorizados por el CCN para cifrar las comunicaciones que discurran fuera del dominio de seguridad?;Are algorithms and parameters authorized by the CCN used to encrypt communications that occur outside the security domain?;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.2.r2;MEDIUM;Respecto a las VPN ¿se emplean dispositivos con garantías adicionales?;Regarding VPNs, are devices with additional guarantees used?;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.2.r3;MEDIUM;;;2;¿Se emplean dispositivos hardware en el establecimiento y utilización de la red privada virtual? | Para el establecimiento y utilización de la red privada virtual ¿se usan productos o servicios que cumplan lo señalado en la medida [op.pl.5] sobre componentes certificados?;Are hardware devices used in the establishment and use of the virtual private network? | For the establishment and use of the virtual private network, are products or services used that comply with the provisions of measure [op.pl.5] on certified components?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.2.r4;MEDIUM;¿Se emplean cifradores que cumplan con los requisitos establecidos en la guía CCN-STIC que sea de aplicación?;Are ciphers used that meet the requirements established in the applicable CCN-STIC guide?;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.2.r5;MEDIUM;¿Se cifra toda la información transmitida?;Is all transmitted information encrypted?;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.3;MEDIUM;Protección de la integridad y de la autenticidad;Protection of integrity and authenticity;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.3;MEDIUM;¿Se emplean mecanismos para garantizar la autenticidad y la integridad de las comunicaciones con el exterior?;Are mechanisms used to guarantee the authenticity and integrity of communications with the outside world?;3;En comunicaciones con puntos exteriores al propio dominio de seguridad, ¿se asegura la autenticidad del otro extremo del canal de comunicación antes de intercambiar información? | ¿Se previenen ataques activos garantizando que al ser detectados se activarán los procedimientos previstos para el tratamiento del incidente? | ¿Se emplea como mecanismo de identificación y autenticación únicamente alguno los previstos en la normativa de aplicación del ordenamiento jurídico?;In communications with points outside the security domain itself, is the authenticity of the other end of the communication channel ensured before exchanging information? | Are active attacks prevented by guaranteeing that when they are detected, the procedures planned to deal with the incident will be activated? | Are only those provided for in the regulations implementing the legal system used as identification and authentication mechanisms?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.3.r1;MEDIUM;¿Se protegen las comunicaciones mediante redes privadas virtuales (VPN)?;Are communications protected using virtual private networks (VPN)?;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.3.r2;MEDIUM;;;2;¿Se emplean redes privadas virtuales cuando la comunicación discurra por redes fuera del propio dominio de seguridad, por lo que deba cifrarse? | ¿Se emplean algoritmos y parámetros autorizados por el CCN para cifrar las comunicaciones que discurran fuera del dominio de seguridad?;Are virtual private networks used when the communication runs through networks outside the security domain itself, so it must be encrypted? | Are algorithms and parameters authorized by the CCN used to encrypt communications that occur outside the security domain?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.3.r3;MEDIUM;¿Se emplean dispositivos con garantías adicionales respecto a las VPN?;Are devices used with additional guarantees compared to VPNs?;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.3.r4;MEDIUM;;;2;¿Se emplean dispositivos hardware en el establecimiento y utilización de la red privada virtual? | Para el establecimiento y utilización de la red privada virtual ¿se usan productos o servicios que cumplan lo establecido en la medida [op.pl.5] sobre componentes certificados?;Are hardware devices used in the establishment and use of the virtual private network? | For the establishment and use of the virtual private network, are products or services used that comply with the provisions of measure [op.pl.5] on certified components?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.3.r5.1;MEDIUM;¿Se emplean cifradores que cumplan con los requisitos establecidos en la guía CCN-STIC que sea de aplicación?;Are ciphers used that meet the requirements established in the applicable CCN-STIC guide?;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.4;MEDIUM;Separación de flujos de información en la red;Separation of information flows on the network;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.4;MEDIUM;¿Se ha segmentado la red, segregando el tráfico?;Has the network been segmented, segregating traffic?;2;¿Se han separado en segmentos los flujos de información, segregando el tráfico por la red, de modo que cada equipo únicamente tenga acceso a la información que necesita? | Si se emplean comunicaciones inalámbricas, ¿se concentran éstas mediante un segmento separado?;Have information flows been separated into segments, segregating network traffic, so that each computer only has access to the information it needs? | If wireless communications are used, are these concentrated through a separate segment?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.4.r1;MEDIUM;¿Se han segregado al menos 3 segmentos de red mediante VLAN?;Have at least 3 network segments been segregated using VLANs?;2;¿Los segmentos de red se han implementado por medio de redes de área local virtuales (Virtual Local Area Network - VLAN)? | ¿Se ha segregado en distintas subredes la red que conforma el sistema, contemplando como mínimo la red de usuarios, la de servicios y la de administración?;Have network segments been implemented using virtual local area networks (VLANs)? | Has the network that makes up the system been segregated into different subnets, considering at least the user network, the services network and the administration network?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.4.r2;MEDIUM;¿Se han implementado los segmentos de red por medio de redes privadas virtuales (Virtual Private Network - VPN)?;Have network segments been implemented through virtual private networks (VPN)?;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.4.r3;MEDIUM;¿Se han implementado los segmentos de red con medios físicos separados?;Have network segments been implemented with separate physical media?;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.4.r4;MEDIUM;¿Se dispone de controles de entrada a los segmentos, así como monitorización?;Are entry controls available to the segments, as well as monitoring?;2;¿Se dispone de control de entrada de los usuarios que llegan a cada segmento y control de entrada y salida de la información disponible en cada segmento? | ¿El punto de interconexión entre subredes está particularmente asegurado, mantenido y monitorizado?;Is there entry control of the users who arrive at each segment and entry and exit control of the information available in each segment? | Is the interconnection point between subnets particularly secured, maintained and monitored?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.eq.3;MEDIUM;Protección de dispositivos portátiles;Protection of portable devices;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
