Domain Title,Control Title,Control Reference,Control Wording,Control Type,SOC  TSC Common Criteria,SOC  TSC Availability,SOC  TSC  Confidentiality,SOC TSC Privacy,ISO 27001 ISMS ,ISO 27002: 2013 Annex A,Cloud Service Customers ISO 27017,Cloud Service Providers ISO 27017,ISO 27018,PII Controller ISO 27701,PII Processor ISO 27701,ISO 22301,BSI C5,FedRAMP Tailored Control,Spanish ENS BASIC Control,Spanish ENS Medium Control,Spanish ENS High Control,ISMAP Control,PCI Control,Saudi CCC Control,EU Code of Conduct Control,NIST SP 800-171 Control,EUCS Basic Control,EUCS Substantial Control,EUCS High Control,SecNumCloud Control,IRAP Control
Data Security Management,Data Transfer,CCF 79,"[The Organization] only transfers Customer Personal Data to a country outside of the European Economic Area (EEA), if it was agreed upon as part of a Cloud Service Agreement with customers. All transfers and agreements meet GDPR requirements.",Process,,,,,,,,,,,,,,,,,,,,,"5.4.E, 5.4.B, 5.4.C",,,,,5.3.e,"664, 675"
Data Security Management,Retention and Disposal Policies,CCF 80,Formal retention and disposal procedures are in place to guide the secure retention and disposal of [The Organization] data.,Process,"CC5.3, CC6.5",,C1.1,,,"A.8.3.2, A.11.2.7",,,,,,,"SP-01, AM-04, PI-03","MP-6, SI-12 ","mp.si.5, mp.info.6",,,"8.3.2, 11.2.7","9.8, 9.8.1.a, 9.8.1.b","2-5-P-1-4, 2-13-P-1-3, 2-17-P-1, 2-5-T-1-1, 2-6-T-1 ","5.2.E, 6.2.D, 6.2.E, 6.2.J",,"AM-02.1,  OPS-13.2","OPS-06.2, OPS-10.2, OPS-13.5",AM-04.3,"9.2.a, 9.2.c, 11.9.a","0316 0315 0374 1510 0348 0835 0356 0358 0360 1514 1735, 1722, 1723, 1724, 1725, 1726, 1727"
Data Security Management,Electronic Media Handling,CCF 81,"Electronic media containing confidential information is purged or destroyed in accordance with best practices, and certificates of destruction are issued for each device destroyed. ",Technology,CC6.5,, C1.2,,,"A.8.3.2, A.11.2.7",,,,,,,AM-04,"MP-6, SI-12 ","mp.si.5, mp.info.6",mp.si.5,mp.si.5,"8.3.2, 11.2.7","9.8, 9.8.2","2-13-P-1-3, 2-17-P-2, 2-17-P-3-1, 2-17-P-3-2, 2-17-P-4, 2-3-3-2, 2-14-3-4","5.14.F, 6.2.D, 6.2.E, 6.2.J","3.7.3 Ensure equipment removed for off-site maintenance is sanitized of any CUI.  3.8.1 Protect (i.e., physically control and securely store) system media containing CUI, both paper and digital.   3.8.3 Sanitize or destroy system media containing CUI before disposal or release for reuse.        ","AM-03.5,  AM-04.1","AM-02.2, PI-03.5","AM-03.6,  AM-04.4, PS-04.7","11.7.c, 11.9.a, 12.14.a",0161 0313 1550 0311 0316 0315 0363 0366 0373 
Data Security Management,Customer data removal,CCF 82,Customer data containing confidential and personal information is purged or removed from the application environment (including backups and data shared with other Offer/Product) upon customer request according to [The Organization] policy and/or contractual obligations.,Process,CC6.7,,"C1.1, C1.2",,,"A.8.3.2, A.11.2.7, A.18.1.4",,,,,,,"PI-02, PI-03","MP-6, SI-12 ","mp.si.5, mp.info.1 ",mp.si.5,mp.si.5,"8.3.2, 11.2.7, 18.1.4","3.1.a, 3.1.b, 3.1.c","2-5-P-1-4,  2-6-P-1-3, 2-17-P-2, 2-17-P-3-2, 2-17-P-4, 2-5-T-1-1, 2-6-T-1 ","5.2.E, 5.14.E, 6.2.D, 6.2.E, 6.2.J",3.7.3 Ensure equipment removed for off-site maintenance is sanitized of any CUI.  3.8.3 Sanitize or destroy system media containing CUI before disposal or release for reuse.           ,"PI-03.1,  PI-03.2","PI-03.3, PI-03.4, PSS-01.3",,"12.14.a, 19.4.a, 19.4.b",
Data Security Management,Customer Retention and Disposal Policies,CCF 83,Formal retention and disposal procedures are in place to guide the secure retention and disposal of customer and personal data.,Process,"CC5.3, CC6.5",,C1.1,,,"A.8.3.2, A.11.2.7",,,,,,,"SP-01, OPS-12, PI-02, PI-03","MP-6, SI-12 ",mp.si.5,,,"8.3.2, 11.2.7","3.1.a, 3.1.b, 3.1.c, 3.2.a, 3.2.b, 3.2.c, 3.2.d, 9.8, 9.8.1.a, 9.8.1.b","2-5-P-1-4,  2-17-P-1, 2-17-P-4, 2-5-T-1-1, 2-6-T-1","5.2.G, 5.2.D, 6.2.E, 6.2.J",,"PI-03.1,  PI-03.2","PI-03.3, PI-03.4, PI-03.5",,"5.3.c, 11.7.c, 11.9.a, 12.14.a",
Data Security Management,SDN Procedures,CCF 84,"If the cloud service offers functions for software-defined networking (SDN), the service uses suitable SDN procedures to ensure the confidentiality of the cloud user data. ",Technology,,,,,,,,,,,,,PSS-10,,,,,,,,,,"CS-08.1,  CS-08.2,  PSS-03.1,  PSS-03.2",PSS-03.3,,,
Data Security Management,Retention and Disposal Policies,CCF 85,"Hardcopy Materials containing confidential information are purged or destroyed in accordance with [The Organization] policy, such as cross-cutting, shredding, incinerating, pulpling, etc. ",Process,,,,,,,,,A.11.7,,,,,,,mp.eq.1,mp.eq.1,"8.3.2.3, 8.3.2.4, 11.2.9.5, 11.2.9.6","9.8, 9.8.1.a, 9.8.1.b, 9.8.2",,,"3.8.1 Protect (i.e., physically control and securely store) system media containing CUI, both paper and digital.                      ",,,,,
Data Security Management,IPv6 support status,CCF 86,The cloud service provider provides the cloud service customer with information on the IPv6 support status of the service provided by the cloud service provider.,Process,,,,,,,,,,,,,,,,,,13.1.1.11.P,,,,,,,,,
Data Security Management,Service Storage and Processing,CCF 87,"Systems must store and process data (including technical data) within the European Union. Furthermore, the administration and supervision of the service must be carried out from the European Union as well.",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,"19.2.b, 19.2.c, 19.2.d, 19.6.a",
Cryptography Management,Cryptographic Key Custodians,CCF 88,Cryptographic key owners must formally acknowledge that they understand and accept their key owner responsibilities upon hire and at least an annual basis thereafter.,Process,,,,,,,,,,,,,,,,,,,"3.6.8.a, 3.6.8.b, 3.6.a, 3.6.b",,,,,,,"10.5.a, 10.5.b",
Cryptography Management,Key Management,CCF 89,"Key management procedures are documented, reviewed at least annually, and define the following processes but not limited to:  -Prevent unauthorized substitution of cryptographic keys -Specify how to generate strong keys -Specify how to securely distribute keys -Requirements for cryptographic key changes for keys that have reached the end of their crypto period -Requirements for retirement or replacement (for example, archiving, destruction, and/or revocation) of keys as deemed necessary when the integrity of the key has been weakened -Store secret and private keys used to encrypt/decrypt data -Securely Store cryptographic keys in the fewest possible locations  Revision histories and review periods are defined within the documents themselves and [The Organization] Policy Governance Policy. ",Process,,,,,,"A.10.1.1, A.10.1.2, A.18.1.3, A.18.1.5",,,,,,,"CRY-01, CRY-04, COS-08","SC-12, SC-13","op.acc.5, op.acc.7, op.exp.11, mp.com.3, mp.si.4","mp.com.2, mp.info.4","mp.com.2, mp.info.4","10.1.1, 10.1.1.2, 10.1.1.6, 10.1.1.7, 10.1.2, 18.1.3, 18.1.5","2.1.1.a, 2.1.1.b, 2.1.1.c, 2.1.1.d, 2.1.1.e, 3.5, 3.5.1, 3.5.2, 3.5.4, 3.6.a, 3.6.b, 3.6.1.a, 3.6.1.b, 3.6.2.a, 3.6.2.b, 3.6.3.a, 3.6.3.b, 3.6.4.a, 3.6.4.b, 3.6.5.a, 3.6.5.b, 3.6.7.a, 3.6.7.b, 3.6.8.a, 3.6.8.b, 4.3","2-15-P-1, 2-15-P-2, 2-15-P-3-2, 2-15-P-3-3, 2-15-P-4, 2-15-T-1, 2-15-T-2, 2-15-T-3-2, 2-15-T-4, 2-8-3-1, 2-8-3-2, 2-8-1, 2-8-2, 2-8-4, 1-3-3, 1-3-4","6.2.G, 6.2.I",3.1.13 Employ cryptographic mechanisms to protect the confidentiality of remote access sessions.  3.5.10 Store and transmit only cryptographically-protected passwords.   3.13.8 Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission unless otherwise protected by alternative physical safeguards.  3.13.10 Establish and manage cryptographic keys for cryptography employed in organizational systems.           ,"CKM-01.1,  CKM-04.1",CKM-01.3,,"10.1.a, 10.4.a, 10.4.b, 10.5.a, 10.5.b, 10.5.c, 10.5.d",702 0455 1449 0501
Cryptography Management,Public Key Certificates,CCF 90,[The Organization] issues public key certificates under an approved certificate authority or obtains public key certificates from an approved service provider.,Technology,,,,,,,"A.10.1.1, A.18.1.3","A.10.1.1, A.18.1.3",10.1.1 18.1,,,,"CRY-01, CRY-04 ","CM-11, SC-12, SC-13, SC-20","op.acc.1, op.acc.7, mp.com.3, mp.si.4",mp.com.2,mp.com.2,"10.1.1, 13.1.1.4, 13.2.3, 18.1.3","1.2.1.a, 1.2.1.b, 1.2.1.c, 1.2.3.a, 1.2.3.b, 4.1.a, 4.1.b, 4.1.c, 4.1.d, 4.1.e, 4.1.g, 4.1.f","2-7-P-1-2, 2-15-T-2, 2-15-3-3",6.2.G,3.13.8 Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission unless otherwise protected by alternative physical safeguards.  3.13.10 Establish and manage cryptographic keys for cryptography employed in organizational systems.                    ,CKM-04.1,,,10.6.a,1324     
Cryptography Management,Cryptography Use,CCF 91,[The Organization] communicates to its cloud service customers when cryptography is used to protect the customer data and provides information and cryptographic technologies to cloud service customers to use.,Process,,,,,,,,10.1.1,10.1.1,6.7.1.1,6.7.1.1,,"CRY-01, PSS-01, PSS-05, PSS-07",,,,,"6.3.1.1.PB, 8.1.2.7.PB, 10.1.1.9.PB, 10.1.1.10.P, 10.1.2.20.PB, 18.1.3.13.PB, 18.1.5.7.PB",,2-6-P-1-5,6.2.I,,"IAM-07.1,  PI-01.4,  PSS-03.1",CKM-03.3,PI-01.5,"13.2.b, 13.2.c",
Cryptography Management,Encrypted Media Devices,CCF 92,"Portable and removable media devices are encrypted (as per the defined organization policies) or monitored when in use. For NIST, FedRAMP, and CMMC, FIPS 140-2 encryption method is used to protect data at rest and in transit. ",Technology,CC6.7,,,,,"A.6.2.1, A.6.2.2, A.8.3.1, A.18.1.3",,,,,,,"CRY-02, CRY-03","AC-19, MP-1, MP-2, MP-7","org.4, mp.eq.3, mp.si.4 ",mp.com.2,mp.com.2,"8.3.1, 8.3.3.1, 11.2.6, 11.2.8, 18.1.3","2.3, 2.3.a, 2.3.b, 2.3.c, 2.3.d, 9.5","2-17-P-3-3, 2-17-P-3-5, 2-17-P-3-6, 2-6-T-2, 2-3-3-2, 1-10-3-2, 2-8-1, 2-8-2, 2-12-1, 2-12-2, 5-1-2, 5-1-3-5","6.2.B, 6.2.D","3.1.21 Limit use of portable storage devices on external systems.  3.8.4 Mark media with necessary CUI markings and distribution limitations.  3.8.1 Protect (i.e., physically control and securely store) system media containing CUI, both paper and digital.   3.8.7 Control the use of removable media on system components.  3.8.8 Prohibit the use of portable storage devices when such devices have no identifiable owner.  3.8.5 Control access to media containing CUI and maintain accountability for media during transport outside of controlled areas.   3.8.6 Implement cryptographic mechanisms to protect the confidentiality of CUI stored on digital media during transport unless otherwise protected by alternative physical safeguards.   3.13.8 Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission unless otherwise protected by alternative physical safeguards.  ","AM-02.1, PS-04.8",,AM-02.3,"10.1.a, 10.1.b, 10.1.c, 10.1.d, 11.7.c, 11.8.a, 12.12.c",1625         
Cryptography Management,"Cryptographic Algorithm and Methods, Secure Data Transmission Protocols, Encryption at Rest",CCF 93,"Approved cryptographic algorithms and methods are used for securing assets with confidential, personal, and sensitive data both at rest and in-transit over public networks. For NIST, FedRAMP, and CMMC, FIPS 140-2 Cryptography method is used to protect data at rest and in transit. ",Technology,"CC6.1, CC6.5, CC6.6, CC6.7, CC6.8",,C1.1,,,"A.6.2.2, A.8.1.2, A.8.2.3, A.8.3.1, A.10.1.1, A.10.1.2, A.13.1.2, A.13.2.1, A.13.2.3, A.14.1.2, A.14.1.3, A.15.1.2, A.18.1.3, A.18.1.4, A.18.1.5",,,,,,,"OPS-12, OPS-14, CRY-01, CRY-02, CRY-03, CRY-04, COS-08, PI-01","CA-3, IA-5 (1), IA-7, SC-7, SC-12, SC-13, SC-20","org.4, op.pl.2, op.acc.1, op.acc.5, op.acc.7, op.exp.11, mp.com.3, mp.info.1, mp.s.1, mp.si.4 ","mp.com.2, mp.si.2, mp.info.4, mp.info.9","mp.com.2, mp.si.2, mp.info.3, mp.info.4, mp.info.9","8.2.3, 8.3.1, 10.1.1, 10.1.2, 13.1.1.4, 13.1.2, 13.2.1, 13.2.3, 13.2.3.2, 13.2.3.5, 14.1.2, 14.1.3, 18.1.3, 18.1.4, 18.1.5","1.2.1.a, 1.2.1.b, 1.2.1.c, 1.2.3.a, 1.2.3.b, 2.2.4.a, 2.2.4.b, 2.2.4.c, 2.3, 2.3.a, 2.3.b, 2.3.c, 2.3.d, 3.4.a, 3.4.b, 3.4.c, 3.4.d, 3.4.e, 3.5, 3.5.3.a, 3.5.3.b, 3.5.3.c, 3.6.a, 3.6.b, 3.6.1.a, 3.6.1.b, 3.6.7.a, 3.6.7.b, 4.1.a, 4.1.b, 4.1.c, 4.1.d, 4.1.e, 4.1.g, 4.1.f, 4.1.1, 8.2.1.a, 8.2.1.b, 8.2.1.c, 8.2.1.d, 8.2.1.e, A2.1, A2.2, A2.3","2-4-P-1-4, 2-6-P-1-2, 2-6-P-1-5, 2-7-P-1-1, 2-8-P-1-1, 2-8-T-1-2, 2-11-P-1-8, 2-14-P-1-1, 2-17-P-2, 2-4-T-1-1, 2-6-T-2, 2-7-T-1-1, 2-7-T-1-2, 2-5-3-3, 2-5-3-4, 2-8-3-1, 2-8-3-3, 2-15-3-3, 1-3-3,  1-3-4, 2-3-2, 2-5-1, 2-5-2, 2-7-1, 2-7-2, 2-8-1, 2-8-2, 2-8-4, 4-2-1, 4-2-2","6.2.B, 6.2.D, 6.2.G, 6.2.H, 6.2.I, 6.2.L, 6.2.M, 6.2.N, 6.2.Q","3.1.12 Monitor and control remote access sessions.  3.1.13 Employ cryptographic mechanisms to protect the confidentiality of remote access sessions.  3.8.1 Protect (i.e., physically control and securely store) system media containing CUI, both paper and digital.   3.8.6 Implement cryptographic mechanisms to protect the confidentiality of CUI stored on digital media during transport unless otherwise protected by alternative physical safeguards.   3.10.6 Enforce safeguarding measures for CUI at alternate work sites.  3.8.9 Protect the confidentiality of backup CUI at storage locations.   3.13.11 Employ FIPS-validated cryptography when used to protect the confidentiality of CUI.   3.13.8 Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission unless otherwise protected by alternative physical safeguards.  3.13.16 Protect the confidentiality of CUI at rest.","AM-02.1,  OPS-09.2,  IAM-07.1,  IAM-08.5,  CKM-01.1,  CKM-02.1,  CS-02-1,  CS-03.1,  CS-09.1,  PI-01.4,  PSS-03.1","OPS-13.4, CKM-01.2, CKM-01.3, PSS-01.3","OPS-13.7,  CKM-02.2,  CS-05.4,  DEV-04.3","9.6.e, 10.1.a, 10.1.b, 10.1.c, 10.2.a, 10.2.b, 10.2.c, 10.2.d, 10.2.e, 11.7.c, 11.8.a, 12.5.d, 12.12.c, 13.2.a, 13.2.b, 13.2.c",1625 1395 0157 1085 1425 1277 0459 1239 1241 0263
Cryptography Management,Cryptographic Algorithm and Methods,CCF 94,Access to the cryptographic keystores is limited to authorized personnel.,Process,,,,,,,,,,,,,CRY-01,"SC-12, SC-13","op.acc.5, op.exp.11 ",mp.si.2,"mp.si.2, mp.info.3","10.1.2, 18.1.5","3.5.2, 3.6.a, 3.6.b, 3.6.2.a, 3.6.2.b, 3.6.3.a, 3.6.3.b, 3.6.7.a, 3.6.7.b","2-15-P-3-1, 2-15-P-3-2, 2-15-T-2, 2-15-T-3-1, 2-8-3-2, 2-8-1, 2-8-2",,3.13.8 Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission unless otherwise protected by alternative physical safeguards.  3.13.10 Establish and manage cryptographic keys for cryptography employed in organizational systems.   3.5.10 Store and transmit only cryptographically-protected passwords.           ,"CKM-01.1,  CKM-04.1","CKM-03.2, CKM-04.4",CKM-03.4,"10.5.c, 10.5.d",
Cryptography Management,Personal Account Number,CCF 95,[The Organization] restricts personal account number (PAN) data such that only the first six and last four digits are displayed; authorized users with a legitimate business need may be provided the full PAN.,Technology,,,,,,,,,,,,,,,,,,,"3.3.a, 3.3.b, 3.3.c, 3.4.a, 3.4.b, 3.4.c, 3.4.d, 3.4.e",,,,,,,,
Cryptography Management,Full Disk Encryption Access,CCF 96,"Where full disk encryption is used, logical access  be managed independently of operating system authentication; decryption keys  not be associated with user accounts.",Technology,,,,,,,,,,,,,,,,,,,"3.4.1.a, 3.4.1.b, 3.4.1.c",,,,,,,"10.1.a, 10.5.c, 10.5.d",
Cryptography Management,Encryption Key,CCF 97,Storage of data encryption keys that encrypt or decrypt cardholder data meet at least one of the following: • the key-encrypting key is at least as strong as the data encrypting key and is stored separately from the data encrypting key • stored within a secure cryptographic device (such as a host security module (HSM) or PTS-approved point-of interaction device) • keys are stored as at least two full-length key components or key shares,Technology,,,,,,,,,,,,,CRY-04,,,,,,"3.5.3.a, 3.5.3.b, 3.5.3.c, 3.6.a, 3.6.b, 3.6.1.a, 3.6.1.b, 3.6.3.a, 3.6.3.b",,,IA-5.3.10: Store and transmit only cryptographically-protected passwords. ,CKM-04.1,,,,
Cryptography Management,Compromised Cryptographic Keys,CCF 98,Cryptographic keys are invalidated when compromised or at the end of their defined lifecycle period.,Process,,,,,,,,,,,,,CRY-04,,,,,,"3.6.a, 3.6.b, 3.6.4.a, 3.6.4.b, 3.6.5.a, 3.6.5.b, 3.6.7.a, 3.6.7.b",,,,"CKM-01.1,  IAM-02.5, CKM-04.1","IAM-03.5, IAM-03.6, CKM-04.4",IAM-03.7,"10.5.a, 10.5.b",
Cryptography Management,Clear-text Cryptographic Key Management,CCF 99,"If applicable, manual clear-text cryptographic key-management operations must be managed using split knowledge and dual control.",Process,,,,,,,,,,,,,,,,,,,"3.6.6.a, 3.6.6.b, 3.6.a, 3.6.b",,,,,,,,
Cryptography Management,Random Number Generator,CCF 100,"All random numbers and other primitives and parameters used are generated using only approved random number generation (RNG) algorithms or libraries. RNG algorithms, libraries and other primitives must be chosen from industry standards.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,"11.7.c, 11.9.a",
Cryptography Management,Single Use Media,CCF 101,Removable media used in the technical infrastructure or for IT administration tasks is dedicated to a single use.,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,8.5.b,
Cryptography Management,Key Storage,CCF 102,"Store secret and private keys used to encrypt/decrypt data in one (or more) of the following forms at all times:  -Encrypted with a key-encrypting key that is at least as strong as the data encrypting key, and that is stored separately from the data-encrypting key  -Within a secure cryptographic device (such as a hardware (host) security module (HSM) or PTS-approved point-of-interaction device)  -As at least two full-length key components or key shares, in accordance with an industry accepted method",Process,,,,,,,,,,,,,,,,,,,,,,,CKM-01.1,CKM-04.2,CKM-04.3,"10.1.a, 10.5.c, 10.5.d",
Cryptography Management,Removable Media Policy,CCF 103,A removable media usage policy is developed and implemented.,Process,,,,,,,,,,,,,,,,,,,,,,,AM-02.1,,,"8.5.a, 8.5.b",1359 
Governance Management,Network & System Hardening,CCF 104,Network and system hardening standards are documented and reviewed at least annually. These standards are deployed to all networks and production [The Organization]. Revision histories and review periods are defined within the documents themselves and the [The Organization] Policy Governance Policy.,Technology,CC5.3,,,,,A.13.1.1,,,,,,,"OPS-23, COS-01, COS-02, COS-03, COS-07, COS-08","CA-3, CM-2, CM-6, CM-7","op.pl.2, op.acc.7, op.exp.2, mp.com.3",op.exp.3,op.exp.3,"9.1.2.2, 9.1.2.4, 9.1.2.5, 12.2.1.7, 13.1.1, 13.1.2","1.1.1.a, 1.1.1.b, 1.1.1.c, 1.2.1.a, 1.2.1.b, 1.2.1.c, 1.2.2.a, 1.2.2.b, 1.5, 2.1.a, 2.1.b, 2.1.c, 2.1.1.a, 2.1.1.b, 2.1.1.c, 2.1.1.d, 2.1.1.e, 2.1.1.d, 2.1.1.e, 2.2.a, 2.2.b, 2.2.c, 2.2.d, 2.2.2.a, 2.2.2.b, 2.2.3, 2.2.4.a, 2.2.4.b, 2.2.4.c, 2.2.5.a, 2.2.5.b, 2.2.5.c, 4.3, 5.3.a, 5.3.b, 5.3.c, 5.4","2-3-P-1-1, 2-3-P-1-3, 2-3-P-1-4, 2-3-P-1-5, 2-14-P-1-1, 2-10-3-4, 2-10-3-5, 1-3-3, 1-3-4, 1-6-3-4, 1-6-3-4, 2-3-1, 2-3-2, 2-3-4, 2-5-1, 2-5-2, 2-10-1, 2-10-2, 2-10-4, 5-1-2, 5-1-3-7","6.2.L, 6.2.Q","3.1.16 Authorize wireless access prior to allowing such connections.  3.1.12 Monitor and control remote access sessions.  3.1.3 Control the flow of CUI in accordance with approved authorizations.   3.4.1 Establish and maintain baseline configurations and inventories of organizational systems (including hardware, software, firmware, and documentation) throughout the respective system development life cycles.  3.4.2 Establish and enforce security configuration settings for information technology products employed in organizational systems.  3.5.4 Employ replay-resistant authentication mechanisms for network access to privileged and non-privileged accounts.      ","AM-02.1,  OPS-21.1,  OPS-21.2,  CS-01.1,  CS-02-1,  CS-09.1","AM-03.3, CS-08.3","OPS-21.3,  CS-01.4","12.10.b, 12.10.c, 12.12.b",0157 0342 1605 1383 1006 1436 0534 1311 1312 1710   
Governance Management,Security Gateways,CCF 105,"Network perimeter is controlled by security gateways. For cross-network access, the access authorization is based on security requirements of the cloud customers.",Technology,,,,,,,,,,,,,COS-04,IA-2,op.acc.6,,,"9.1.2, 13.1.1, 13.1.2","1.2, 1.2.1.a, 1.2.1.b, 1.2.1.c, 1.2.3.a, 1.2.3.b, 1.3, 9.1.2","2-4-P-1-5, 2-5-3-5, 1-6-3-4, 2-5-1, 2-5-2",,"3.1.16 Authorize wireless access prior to allowing such connections.  3.1.12 Monitor and control remote access sessions.  3.1.14 Route remote access via managed access control points.   3.4.8 Apply deny-by-exception (blacklisting) policy to prevent the use of unauthorized software or deny-all, permit-by-exception (whitelisting) policy to allow the execution of authorized software.   3.13.6 Deny network communications traffic by default and allow network communications traffic by exception (i.e., deny all, permit by exception).  3.13.15 Protect the authenticity of communications sessions.      ","CS-02-1,  CS-04.1,  CS-06.1","CS-04.2, CS-04.3","CS-04.4,  CS-04.5",,0157 0342 1006 0628 0631 1271 0520 1182 1311 1427 
Governance Management,Virtual Private Network Hardware,CCF 106,"When applicable, hardware devices are used for the establishment and use of virtual private networks. ",Technology,,,,,,,,,,,,,,,,,mp.com.2,,,,,,,,,,
Governance Management,Security Management System Risk Assessment Methodology,CCF 107,"A documented Information Security Management System Risk Assessment Methodology is in place that includes guidance on the identification of potential threats, rating the significance of the risks associated with the identified threats, and mitigation strategies for those risks, documentation and communication of those risks, as well as possible vulnerabilities within the cloud service provider and their impacts. Upper management, or its designated representative(s), owns this methodology and is responsible for its adherence.",Process,"CC3.1, CC3.2, CC3.3, CC3.4, CC5.1, CC5.2, CC5.3, CC9.1",,,,"Clause 4.1, Clause 4.2, Clause 4.3, Clause 5.1, Clause 5.2, Clause 6.1.1, Clause 6.1.2, Clause 6.1.3, Clause 6.2, Clause 7.4, Clause 7.5.1, Clause 7.5.2, Clause 8.1, Clause 8.2, Clause 8.3, Clause 9.1, Clause 9.3, Clause 10.1, Clause 10.2","A.6.1.1, A.6.1.4, A.6.1.5, A.12.6.1, A.14.1.1, A.14.1.2, A.15.1.1, A.15.1.2, A.16.1.4, A.16.1.5, A.17.1.1, A.17.1.2, A.17.1.3",,CLD.12.4.5,,,,,"OIS-01, OIS-03, OIS-06, OIS-07, SP-03, OPS-18, OPS-20, OPS-22, COS-01, COS-03, PSS-03","CA-2, CA-2 (1), CM-4, PS-2, RA-1","op.pl.1, op.pl.3","op.pl.2, op.cont.1","op.pl.2, op.cont.1","6.1.1, 6.1.1.13.P, 6.1.5, 6.3.1.P, 12.2.1.7, 12.6.1, 14.1.1, 15.1.1, 17.1.1, 17.1.2, 17.1.3, 3.1.2.1, 3.1.2.2, 3.1.2.3, 3.1.3.1, 3.1.4.1, 3.1.4.2, 3.1.4.3, 3.1.4.4, 4.4.1.1, 4.4.2.1, 4.4.3.1, 4.4.4.1, 4.4.5.1, 4.4.5.2, 4.4.6.1, 4.4.7.1, 4.4.7.2, 4.4.7.3, 4.4.7.4, 4.4.8.1, 4.4.8.2, 4.4.8.3, 4.4.8.4, 4.4.8.5, 4.5.3.1, 4.5.4.1, 4.5.4.2, 4.5.4.3, 4.5.4.4, 4.5.4.5, 4.5.5.1, 4.5.5.2, 4.5.5.3, 4.6.1.1, 4.6.2.1, 4.6.3.1, 4.6.3.2, 4.6.3.3, 4.6.3.4, 4.7.1.1, 4.7.1.2, 4.7.1.3, 4.7.1.4, 4.7.1.5, 4.7.1.6, 4.7.1.7, 4.8.1.1, 4.8.2.1, 4.9.1.1, 4.9.2.2",,"1-2-P-1-1, 1-2-P-1-3, 1-2-T-1-1, 1-2-T-1-3, 1-5-1, 1-5-2, 1-5-4, 2-1-6, 2-5-3-4, 1-1-2, 1-8-1, 2-5-4, 2-10-1, 2-10-2, 5-1-2, 5-1-3-8","6.2.B, 6.2.K, 6.2.M, 6.2.N, 6.2.O","3.11.1 Periodically assess the risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals, resulting from the operation of organizational systems and the associated processing, storage, or transmission of CUI.  3.11.3 Remediate vulnerabilities in accordance with risk assessments.  3.12.2 Develop and implement plans of action designed to correct deficiencies and reduce or eliminate vulnerabilities in organizational systems.                 ","OSI-01.4,  OIS-02.1,  OIS-02.2,  OIS-02.3,  RM-01.1,  RM-02.1b,  RM-02.3,  RM-03.1,  OPS-17.1,  CS-03.1,  DOC-04.1","OIS-04.2, ISP-03.3, OPS-17.2, OPS-19.2, CS-01.2, CS-03.4, CS-03.5, DOC-04.4","RM-02.4,  CS-01.5","5.3.a, 5.3.b, 5.3.c, 5.3.f, 6.2.a, 9.1.a, 11.4.a",1163 1563 1564 0336 1238        
