description,controlId
"The documentation of the logical structure of the network used to provision or operate the Cloud Service, is traceable and up-to-date, in order to avoid administrative errors during live operation and to ensure timely recovery in the event of malfunctions in accordance with contractual obligations. The documentation shows how the subnets are allocated and how the network is zoned and segmented. In addition, the geographical locations in which the cloud customers' data is stored are indicated.",CS-06
"The cloud service can be accessed by other cloud services or IT systems of cloud customers through documented inbound and outbound interfaces. Further, the interfaces are clearly documented for subject matter experts on how they can be used to retrieve the data.

Communication takes place through standardised communication protocols that ensure the confidentiality and integrity of the transmitted information according to its protection requirements. Communication over untrusted networks is encrypted according to CRY-02.

The type and scope of the documentation on the interfaces is geared to the needs of the cloud customers' subject matter experts in order to enable the use of these interfaces. The information is maintained in such a way that it is applicable for the cloud service's version which is intended for productive use.",PI-01
"In contractual agreements, the following aspects are defined with regard to the termination of the contractual relationship, insofar as these are applicable to the cloud service:

• Type, scope and format of the data the Cloud Service Provider provides to the cloud customer;

• Definition of the timeframe, within which the Cloud Service Provider makes the data available to the cloud customer 

• Definition of the point in time as of which the Cloud Service Provider makes the data inaccessible to the cloud customer and deletes these; and

• The cloud customers' responsibilities and obligations to cooperate for the provision of the data.

The definitions are based on the needs of subject matter experts of potential customers who assess the suitability of the cloud service with regard to a dependency on the Cloud Service Provider as well as legal and regulatory requirements.",PI-02
"The Cloud Service Provider's procedures for deleting the cloud customers' data upon termination of the contractual relationship ensure compliance with the contractual agreements (cf. PI-02).

The deletion includes data in the cloud customer's environment, metadata and data stored in the data backups.

The deletion procedures prevent recovery by forensic means.",PI-03
"Policies and instructions with technical and organisational measures for the secure development of the cloud service are documented, communicated and provided in accordance with SP-01.

The policies and instructions contain guidelines for the entire life cycle of the cloud service and are based on recognised standards and methods with regard to the following aspects:

• Security in Software Development (Requirements, Design, Implementation, Testing and Verification); 

• Security in software deployment (including continuous delivery); and

• Security in operation (reaction to identified faults and vulnerabilities).",DEV-01
"In the case of outsourced development of the cloud service (or individual system components), specifications regarding the following aspects are contractually agreed between the Cloud Service Provider and the outsourced development contractor:

• Security in software development (requirements, design, implementation, tests and verifications) in accordance with recognised standards and methods;

• Acceptance testing of the quality of the services provided in accordance with the agreed functional and non-functional requirements; and

• Providing evidence that sufficient verifications have been carried out to rule out the existence of known vulnerabilities.",DEV-07
"Policies and instructions with technical and organisational safeguards for change management of system components of the cloud service within the scope of software deployment are documented, communicated and provided according to SP-01 with regard to the following aspects:

• Criteria for risk assessment, categorisation and prioritisation of changes and related requirements for the type and scope of testing to be performed, and necessary approvals for the development/implementation of the change and releases for deployment in the production environment by authorised personnel or system components;

• Requirements for the performance and documentation of tests;

• Requirements for segregation of duties during development, testing and release of changes;

• Requirements for the proper information of cloud customers about the type and scope of the change as well as the resulting obligations to cooperate in accordance with the contractual agreements;

• Requirements for the documentation of changes in system, operational and user documentation; and

• Requirements for the implementation and documentation of emergency changes that must comply with the same level of security as normal changes.",CCM-01
"In accordance with the applicable policies (cf. DEV-03), changes are subjected to a risk assessment with regard to potential effects on the system components concerned and are categorised and prioritised accordingly.",CCM-02
"Changes to the cloud service are subject to appropriate testing during software development and deployment.

The type and scope of the tests correspond to the risk assessment. The tests are carried out by appropriately qualified personnel of the Cloud Service Provider or by automated test procedures that comply with the state-of-the-art. Cloud customers are involved into the tests in accordance with the contractual requirements.

The severity of the errors and vulnerabilities identified in the tests, which are relevant for the deployment decision, is determined according to defined criteria and actions for timely remediation or mitigation are initiated.",CCM-03
System components and tools for source code management and software deployment that are used to make changes to system components of the cloud service in the production environment are subject to a role and rights concept according to IDM-01 and authorisation mechanisms. They must be configured in such a way that all changes are logged and can therefore be traced back to the individuals or system components executing them.,CCM-05
System components and tools for source code management and software deployment that are used to make changes to system components of the cloud service in the production environment are subject to a role and rights concept according to IDM-01 and authorisation mechanisms. They must be configured in such a way that all changes are logged and can therefore be traced back to the individuals or system components executing them.,CCM-06
Version control procedures are set up to track dependencies of individual changes and to restore affected system components back to their previous state as a result of errors or identified vulnerabilities.,CCM-06
"Authorised personnel or system components of the Cloud Service Provider approve changes to the cloud service based on defined criteria (e.g. test results and required approvals) before these are made available to the cloud customers in the production environment.

Cloud customers are involved in the release according to contractual requirements.",CCM-04
"Production environments are physically or logically separated from test or development environments to prevent unauthorised access to cloud customer data, the spread of malware, or changes to system components. Data contained in the production environments is not used in test or development environments in order not to compromise their confidentiality.",DEV-04
"Policies and instructions for controlling and monitoring third parties (e.g. service providers or suppliers) whose services contribute to the provision of the cloud service are documented, communicated and provided in accordance with SP-01 with respect to the following aspects:

• Requirements for the assessment of risks resulting from the procurement of third-party services;

• Requirements for the classification of third parties based on the risk assessment by the Cloud Service Provider and the determination of whether the third party is a subcontractor (cf. Supplementary Information);

• Information security requirements for the processing, storage or transmission of information by third parties based on recognised industry standards;

• Information security awareness and training requirements for staff;

• applicable legal and regulatory requirements;

• Requirements for dealing with vulnerabilities, security incidents and malfunctions;

• Specifications for the contractual agreement of these requirements;

• Specifications for the monitoring of these requirements; and

• Specifications for applying these requirements also to service providers used by the third parties, insofar as the services provided by these service providers also contribute to the provision of the cloud service.",PM-01
"Policies and instructions for controlling and monitoring third parties (e.g. service providers or suppliers) whose services contribute to the provision of the cloud service are documented, communicated and provided in accordance with SP-01 with respect to the following aspects:

• Requirements for the assessment of risks resulting from the procurement of third-party services;

• Requirements for the classification of third parties based on the risk assessment by the Cloud Service Provider and the determination of whether the third party is a subcontractor (cf. Supplementary Information);

• Information security requirements for the processing, storage or transmission of information by third parties based on recognised industry standards;

• Information security awareness and training requirements for staff;

• applicable legal and regulatory requirements;

• Requirements for dealing with vulnerabilities, security incidents and malfunctions;

• Specifications for the contractual agreement of these requirements;

• Specifications for the monitoring of these requirements; and

• Specifications for applying these requirements also to service providers used by the third parties, insofar as the services provided by these service providers also contribute to the provision of the cloud service.",IM-01
"Service providers and suppliers of the Cloud Service Provider undergo a risk assessment in accordance with the policies and instructions for the control and monitoring of third parties prior to contributing to the delivery of the cloud service. The adequacy of the risk assessment is reviewed regularly, at least annually, by qualified personnel of the Cloud Service Provider during service usage.
 
The risk assessment includes the identification, analysis, evaluation, handling and documentation of risks with regard to the following aspects:

• Protection needs regarding the confidentiality, integrity, availability and authenticity of information processed, stored or transmitted by the third party; 

• Impact of a protection breach on the provision of the cloud service;

• The Cloud Service Provider's dependence on the service provider or supplier for the scope, complexity and uniqueness of the service purchased, including the consideration of possible alternatives.",PM-02
"The Cloud Service Provider maintains a directory for controlling and monitoring the service providers and suppliers who contribute services to the delivery of the cloud service. The following information is maintained in the directory:

• Company name;

• Address;

• Locations of data processing and storage;

• Responsible contact person at the service provider/supplier;

• Responsible contact person at the cloud service provider;

• Description of the service;

• Classification based on the risk assessment;

• Beginning of service usage; and

• Proof of compliance with contractually agreed requirements.

The information in the list is checked at least annually for completeness, accuracy and validity.",PM-03
"The Cloud Service Provider monitors compliance with information security requirements and applicable legal and regulatory requirements in accordance with policies and instructions concerning controlling and monitoring of third-parties.

Monitoring includes a regular review of the following evidence to the extent that such evidence is to be provided by third parties in accordance with the contractual agreements:

• reports on the quality of the service provided;

• certificates of the management systems' compliance with international standards;

• independent third-party reports on the suitability and operating effectiveness of their service-related internal control systems; and

• Records of the third parties on the handling of vulnerabilities, security incidents and malfunctions.

The frequency of the monitoring corresponds to the classification of the third party based on the risk assessment conducted by the Cloud Service Provider (cf. SSO-02). The results of the monitoring are included in the review of the third party's risk assessment.

Identified violations and deviations are subjected to analysis, evaluation and treatment in accordance with the risk management procedure (cf. OIS-07).",PM-04
"The Cloud Service Provider has defined and documented exit strategies for the purchase of services where the risk assessment of the service providers and suppliers regarding the scope, complexity and uniqueness of the purchased service resulted in a very high dependency (cf. Supplementary Information).

Exit strategies are aligned with operational continuity plans and include the following aspects:

• Analysis of the potential costs, impacts, resources and timing of the transition of a purchased service to an alternative service provider or supplier;

• Definition and allocation of roles, responsibilities and sufficient resources to perform the activities for a transition;

• Definition of success criteria for the transition; and

• Definition of indicators for monitoring the performance of services, which should initiate the withdrawal from the service if the results are unacceptable.",PM-05
"Policies and instructions with technical and organisational safeguards are documented, communicated and provided in accordance with SP-01 to ensure a fast, effective and proper response to all known security incidents.

The Cloud Service Provider defines guidelines for the classification, prioritisation and escalation of security incidents and creates interfaces to the incident management and business continuity management.

In addition, the Cloud Service Provider has set up a ""Computer Emergency Response Team"" (CERT), which contributes to the coordinated resolution of occurring security incidents.

Customers affected by security incidents are informed in a timely and appropriate manner.",IM-01
"Subject matter experts of the Cloud Service Provider, together with external security providers where appropriate, classify, prioritise and perform root-cause analyses for events that could constitute a security incident.",IM-02
"After a security incident has been processed, the solution is documented in accordance with the contractual agreements and the report is sent to the affected customers for final acknowledgement or, if applicable, as confirmation.",IM-03
"The Cloud Service Provider informs employees and external business partners of their obligations. If necessary, they agree to or are contractually obliged to report all security events that become known to them and are directly related to the cloud service provided by the Cloud Service Provider to a previously designated central office of the Cloud Service Provider promptly.

In addition, the Cloud Service Provider communicates that ""false reports"" of events that do not subsequently turn out to be incidents do not have any negative consequences.",IM-04
Mechanisms are in place to measure and monitor the type and scope of security incidents and to report them to support agencies. The information obtained from the evaluation is used to identify recurrent or significant incidents and to identify the need for further protection.,IM-06
Mechanisms are in place to measure and monitor the type and scope of security incidents and to report them to support agencies. The information obtained from the evaluation is used to identify recurrent or significant incidents and to identify the need for further protection.,IM-07
"The top management (or a member of the top management) of the Cloud Service Provider is named as the process owner of business continuity and emergency management and is responsible for establishing the process within the company as well as ensuring compliance with the guidelines. They must ensure that sufficient resources are made available for an effective process.

People in management and other relevant leadership positions demonstrate leadership and commitment to this issue by encouraging employees to actively contribute to the effectiveness of continuity and emergency management.",BC-01
"Policies and instructions to determine the impact of any malfunction to the cloud service or enterprise are documented, communicated and made available in accordance with SP-01. The following aspects are considered as minimum:

• Possible scenarios based on a risk analysis;

• Identification of critical products and services

• Identify dependencies, including processes (including resources required), applications, business partners and third parties;

• Capture threats to critical products and services;

• Identification of effects resulting from planned and unplanned malfunctions and changes over time;

• Determination of the maximum acceptable duration of malfunctions;

• Identification of restoration priorities;

• Determination of time targets for the resumption of critical products and services within the maximum acceptable time period (RTO);

• Determination of time targets for the maximum reasonable period during which data can be lost and not recovered (RPO); and

• Estimation of the resources needed for resumption.",BC-02
"Policies and instructions to determine the impact of any malfunction to the cloud service or enterprise are documented, communicated and made available in accordance with SP-01. The following aspects are considered as minimum:

• Possible scenarios based on a risk analysis;

• Identification of critical products and services

• Identify dependencies, including processes (including resources required), applications, business partners and third parties;

• Capture threats to critical products and services;

• Identification of effects resulting from planned and unplanned malfunctions and changes over time;

• Determination of the maximum acceptable duration of malfunctions;

• Identification of restoration priorities;

• Determination of time targets for the resumption of critical products and services within the maximum acceptable time period (RTO);

• Determination of time targets for the maximum reasonable period during which data can be lost and not recovered (RPO); and

• Estimation of the resources needed for resumption.",BC-03
"The business impact analysis, business continuity plans and contingency plans are reviewed, updated and tested on a regular basis (at least annually) or after significant organisational or environmental changes. Tests involve affected customers (tenants) and relevant third parties. The tests are documented and results are taken into account for future operational continuity measures.",BC-02
"The business impact analysis, business continuity plans and contingency plans are reviewed, updated and tested on a regular basis (at least annually) or after significant organisational or environmental changes. Tests involve affected customers (tenants) and relevant third parties. The tests are documented and results are taken into account for future operational continuity measures.",BC-03
"The business impact analysis, business continuity plans and contingency plans are reviewed, updated and tested on a regular basis (at least annually) or after significant organisational or environmental changes. Tests involve affected customers (tenants) and relevant third parties. The tests are documented and results are taken into account for future operational continuity measures.",BC-04
"The legal, regulatory, self-imposed and contractual requirements relevant to the information security of the cloud service as well as the Cloud Service Provider's procedures for complying with these requirements are explicitly defined and documented.",CO-01
"Policies and instructions for planning and conducting audits are documented, communicated and made available in accordance with SP-01 and address the following aspects:

• Restriction to read-only access to system components in accordance with the agreed audit plan and as necessary to perform the activities;

• Activities that may result in malfunctions to the cloud service or breaches of contractual requirements are performed during scheduled maintenance windows or outside peak periods; and

• Logging and monitoring of activities.",CO-02
"Subject matter experts check the compliance of the information security management system at regular intervals, at least annually, with the relevant and applicable legal, regulatory, self-imposed or contractual requirements (cf. COM-01) as well as compliance with the policies and instructions (cf. SP-01) within their scope of responsibility (cf. OIS-01) through internal audits (cf. § 9.2 of ISO/IEC 27001).

Identified vulnerabilities and deviations are subject to risk assessment in accordance with the risk management procedure (cf. OIS-06) and follow-up measures are defined and tracked (cf. OPS-18).",CO-03
"The top management of the Cloud Service Provider is regularly informed about the information security performance within the scope of the ISMS in order to ensure its continued suitability, adequacy and effectiveness. The information is included in the management review of the ISMS at is performed at least once a year.",CO-04
Investigation requests from government agencies are subjected to a legal assessment by subject matter experts of the Cloud Service Provider. The assessment determines whether the government agency has an applicable and legally valid legal basis and what further steps need to be taken.,INQ-01
"The Cloud Service Provider informs the affected Cloud Customer(s) without undue delay, unless the applicable legal basis on which the government agency is based prohibits this or there are clear indications of illegal actions in connection with the use of the Cloud Service.",INQ-02
Access to or disclosure of cloud customer data in connection with government investigation requests is subject to the proviso that the Cloud Service Provider's legal assessment has shown that an applicable and valid legal basis exists and that the investigation request must be granted on that basis.,INQ-03
"The Cloud Service Provider's procedures establishing access to or disclosing data of cloud customers in the context of investigation requests from governmental agencies ensure that the agencies only gain access to or insight into the data that is the subject of the investigation request.

If no clear limitation of the data is possible, the Cloud Service Provider anonymises or pseudonymises the data so that government agencies can only assign it to those cloud customers who are subject of the investigation request.",INQ-03
"The Cloud Service Provider provides cloud customers with guidelines and recommendations for the secure use of the cloud service provided. The information contained therein is intended to assist the cloud customer in the secure configuration, installation and use of the cloud service, to the extent applicable to the cloud service and the responsibility of the cloud user.

The type and scope of the information provided will be based on the needs of subject matter experts of the cloud customers who set information security requirements, implement them or verify the implementation (e.g. IT, Compliance, Internal Audit). The information in the guidelines and recommendations for the secure use of the cloud service address the following aspects, where applicable to the cloud service:

• Instructions for secure configuration;

• Information sources on known vulnerabilities and update mechanisms;

• Error handling and logging mechanisms;

• Authentication mechanisms;

• Roles and rights concept including combinations that result in an 
elevated risk; and

• Services and functions for administration of the cloud service by privileged users. 

The information is maintained so that it is applicable to the cloud service provided in the version intended for productive use.",DOC-01
"The Cloud Service Provider applies appropriate measures to check the cloud service for vulnerabilities which might have been integrated into the cloud service during the software development process.

The procedures for identifying such vulnerabilities are part of the software development process and, depending on a risk assessment, include the following activities:

• Static Application Security Testing;

• Dynamic Application Security Testing;

• Code reviews by the Cloud Service Provider's subject matter experts; and

• Obtaining information about confirmed vulnerabilities in software libraries provided by third parties and used in their own cloud service.

The severity of identified vulnerabilities is assessed according to defined criteria and measures are taken to immediately eliminate or mitigate them.",DEV-06
"The Cloud Service Provider operates or refers to a daily updated online register of known vulnerabilities that affect the Cloud Service Provider and assets provided by the Cloud Service Provider that the cloud customers have to install, provide or operate themselves under the customers responsibility.

The presentation of the vulnerabilities follows the Common Vulnerability Scoring System (CVSS).

The online register is easily accessible to any cloud customer. The information contained therein forms a suitable basis for risk assessment and possible follow-up measures on the part of cloud users. 

For each vulnerability, it is indicated whether software updates (e.g. patch, update) are available, when they will be rolled out and whether they will be deployed by the Cloud Service Provider, the cloud customer or both of them together.",OPS-18
"The cloud service provided is equipped with error handling and logging mechanisms. These enable cloud users to obtain security-related information about the security status of the cloud service as well as the data, services or functions it provides.

The information is detailed enough to allow cloud users to check the following aspects, insofar as they are applicable to the cloud service:

• Which data, services or functions available to the cloud user within the cloud service, have been accessed by whom and when (Audit Logs);

• Malfunctions during processing of automatic or manual actions; and

• Changes to security-relevant configuration parameters, error handling and logging mechanisms, user authentication, action authorisation, cryptography, and communication security.

The logged information is protected from unauthorised access and modification and can be deleted by the Cloud Customer.

If the cloud customer is responsible for the activation or type and scope of logging, the Cloud Service Provider must provide appropriate logging capabilities.",PSS-01
"To protect confidentiality, availability, integrity and authenticity during interactions with the cloud service, a suitable session management system is used that at least corresponds to the state-of-the-art and is protected against known attacks. Mechanisms are implemented that invalidate a session after it has been detected as inactive. The inactivity can be detected by time measurement. In this case, the time interval can be configured by the Cloud Service Provider or - if technically possible - by the cloud customer.",PSS-02
"If the Cloud Service offers functions for software-defined networking (SDN), the confidentiality of the data of the cloud user is ensured by suitable SDN procedures.

The Cloud Service Provider validates the functionality of the SDN functions before providing new SDN features to cloud users or modifying existing SDN features. Identified defects are assessed and corrected in a risk-oriented manner.",CS-07
"If the Cloud Service offers functions for software-defined networking (SDN), the confidentiality of the data of the cloud user is ensured by suitable SDN procedures.

The Cloud Service Provider validates the functionality of the SDN functions before providing new SDN features to cloud users or modifying existing SDN features. Identified defects are assessed and corrected in a risk-oriented manner.",PSS-03
"If cloud customers operate virtual machines or containers with the cloud service, the Cloud Service Provider must ensure the following aspects:

• The cloud customer can restrict the selection of images of virtual machines or containers according to his specifications, so that users of this cloud customer can only launch the images or containers released according to these restrictions.

• If the Cloud Service Provider provides images of virtual machines or containers to the Cloud Customer, the Cloud Service Provider appropriately inform the Cloud Customer of the changes made to the previous version.

• In addition, these images provided by the Cloud Service Provider are hardened according to generally accepted industry standards.",PSS-04
"The cloud customer is able to specify the locations (location/country) of the data processing and storage including data backups according to the contractually available options.

This must be ensured by the cloud architecture.",PSS-05
