Ref,Description,Ass. Level
OPS-21.2,The hardening requirements for each system component shall be documented,Basic
OPS-21.3,The CSP shall automatically monitor the service components under its responsibility for compliance with hardening specifications,High
OPS-21.1,"The CSP shall segregate the CSC data stored and processed on shared virtual and physical resources to ensure the confidentiality and integrity of this data, according to the results of a risk analysis (cf. RM-01) December 2020",Basic
IAM-01.1,"The CSP shall document, communicate and make available role and rights policies and procedures for controlling access to information resources, according to ISP-02 and based on the business and security requirements of the CSP, in which at least the following aspects are covered:  Parameters to be considered for making access control decisions  Granting and modifying access rights based on the “least-privilege” principle and on the “need-to-know” principle.  Use of a role-based mechanism for the assignment of access rights  Segregation of duties between managing, approving and assigning access rights  Dedicated rules for users with privileged access  Requirements for the approval and documentation of the management of access rights",Basic
IAM-01.2,"The CSP shall link the access control policy defined in IAM-01.1 with the physical access control policy defined in PS-02.1, to guarantee that the access to the premises where information is located is also controlled.",Basic
IAM-01.3,The CSP shall base its access control policy on the use of role-based access control.,Substantial
IAM-02.1,"The CSP shall document policies for managing accounts, according to ISP-02, in which at least the following aspects are described:  Assignment of unique usernames  Definition of the different types of accounts supported, and assignment of access control parameters and roles to be considered for each type  Events leading to blocking and revoking accounts",Basic
IAM-02.2,"The CSP shall document, communicate and make available policies for managing accounts of users under the responsibility of the CSP, according to ISP-02 and extending the policies defined in IAM-02.1, in which at least the following aspects are described:  Segregation of duties between managing, approving and assigning user accounts  Regular review of assigned user accounts and associated access rights December 2020 Ref Description Ass. Level  Blocking and revoking accounts in the event of inactivity or potential account compromise  Requirements for the approval and documentation of the management of user accounts",Substantial
IAM-02.3,"The CSP shall document, communicate and make available policies for managing accounts of users under the responsibility of the CSCs, according to ISP-02 and extending the policies defined in IAM-02.1, in which at least the following aspects are described:  Access control mechanisms available to CSCs  Access control parameters that the CSC is allowed to configure",Substantial
IAM-02.4,The CSP shall document and implement procedures for managing personal user accounts and access rights to internal and external employees that comply with the role and rights concept and with the policies for managing accounts,Basic
IAM-02.5,The CSP shall document and implement procedures for managing non-personal shared accounts and associated access rights that comply with the role and rights concept and with the policies for managing accounts,Basic
IAM-02.6,The CSP shall document and implement procedures for managing technical accounts and associated access rights to system components involved in the operation of the cloud service that comply with the role and rights concept and with the policies for managing accounts,Basic
IAM-02.7,The CSP shall offer CSCs a self-service with which they can independently manage user accounts for all users under their responsibility.,Substantial
IAM-02.8,"The CSP shall be able to provide, for a given user account, whether it falls under the responsibility of the CSP or of the CSC, as well as the list of the access rights granted to that account.",High
IAM-03.1,The CSP shall define and implement an automated mechanism to block user accounts after a certain period of time,Basic
IAM-03.2,The automated mechanism in IAM-03.1 shall block personal user accounts under the responsibility of the CSP after two (2) months of inactivity.,Substantial
IAM-03.3,The CSP shall define and implement an automated mechanism to block user accounts after a certain number of failed authentication attempts,Basic
IAM-03.4,"The limits on authentication attempts used in mechanism IAM-03.3 for user accounts under the responsibility of the CSP shall be based on the risks on the accounts, associated access rights and authentication mechanisms",Substantial
IAM-03.5,"The CSP shall document a process to monitor stolen and compromised credentials and lock any pending account for which an issue is identified, pending a review by an authorized person",Substantial
IAM-03.6,The CSP shall implement the process in IAM-03.5 on all user accounts under its responsibility to which privileged access rights are assigned,Substantial
IAM-03.7,The CSP shall implement the process in IAM-03.5 on all user accounts under its responsibility,High
IAM-03.8,Approval from authorised personnel or system components is required to unlock accounts locked automatically,Substantial
IAM-03.9,The CSP shall define and implement an automated mechanism to revoke user accounts that have been blocked by another automatic mechanism after a certain period of time,Substantial
IAM-03.10,The automated mechanism in IAM-03.9 shall revoke user accounts under the responsibility of the CSP after they have been blocked for six (6) months.,Substantial
IAM-03.11,The CSP shall automatically monitor the implemented automated mechanisms to guarantee their compliance with IAM-03,High
IAM-03.12,The CSP shall automatically monitor the environmental conditions of authentication attempts and flag suspicious events to the corresponding user or to authorized persons,High
IAM-04.1,"The CSP shall document and implement procedures to grant, update, and revoke to a user account under its responsibility access rights to resources of the information system of the cloud service, and these procedures shall be compliant with the role and rights concept and with the policies for managing access rights",Basic
IAM-04.2,The CSP shall document and implement a procedure to timely update or revoke the access rights of an internal or external employee when the role and responsibilities of the employee change.,Basic
IAM-04.3,The update or revocation of access rights procedure defined in IAM-04.2 shall be executed within 48 hours of the role change for privileged access rights and within 14 days for other access rights.,Substantial
IAM-04.4,"The CSP shall document a procedure to provide, for a given resource subject to access control the list of all the user accounts that have access to it, whether they fall under the responsibility of the CSP or of a CSC, and for every such account the list of access rights currently granted to it",High
IAM-04.5,"The CSP shall document the incompatibility between access rights, and enforce these incompatibilities when access rights are granted or updated on a user account",High
IAM-04.6,The access right management procedures shall follow a dynamic approach,High
IAM-04.7,The CSP shall offer CSCs a self-service with which they can independently manage access rights for all user accounts under their responsibility. December 2020,Substantial
IAM-05.1,The CSP shall review the access rights of all the user accounts under its responsibility at least once a year to ensure that they still correspond to the current needs,Basic
IAM-05.2,The review defined in IAM-05.1 shall be performed by authorised persons under the responsibility of the authorised body that has approved the access rights policies.,Substantial
IAM-05.3,"The CSP handles identified deviations timely, but no later than 7 days after their detection, by appropriately revoking or updating access rights.",Substantial
IAM-05.4,The CSP shall provide CSCs with a tool that facilitates the review of the access rights of user accounts under their responsibility,Substantial
IAM-05.5,The CSP shall perform the review defined in IAM-05.1 at least every six (6) months,High
IAM-06.1,"Privileged access rights shall be personalised, limited in time according to a risk assessment and assigned as necessary for the execution of tasks (need-to-know principle)",Substantial
IAM-06.2,"Activities of users with privileged access rights shall be logged in order to detect any misuse of privileged access or function in suspicious cases, and the logged information shall be automatically monitored for defined events that may indicate misuse",Substantial
IAM-06.3,"The CSP shall document and implement a procedure that, upon detection of potential misuse by the monitoring defined in IAM-06.2, informs the responsible personnel so that they can promptly assess whether misuse has occurred and take corresponding action.",Substantial
IAM-06.4,Shared accounts under the responsibility of the CSP shall be assigned only to internal or external employees,Basic
IAM-06.5,The CSP must revise every three (3) months the list of employees who are responsible for a technical account within its scope of responsibility,High
IAM-06.6,The CSP shall maintain an up-to-date inventory of the user accounts under its responsibility that have privileged access rights,High
IAM-06.7,The CSP shall require strong authentication for accessing the administration interfaces used by the CSP,Substantial
IAM-06.8,The CSP shall require strong authentication for accessing the administration interfaces offered to the CSC,High
IAM-07.1,"The CSP shall document and implement a policy and procedures about authentication mechanisms, covering at least the following aspects:  The selection of mechanisms suitable for every type of account and each level of risk;  The protection of credentials used by the authentication mechanism;  The generation and distribution of credentials for new accounts;  Rules for the renewal of credentials, including periodic renewals, renewals in case of loss or compromise; and  Rules on the required strength of credentials, together with mechanisms to communicate and enforce the rules;",Basic
IAM-07.2,"The access to all environments of the CSP shall be authenticated, including non-production environments",Substantial
IAM-07.3,The access to the production environment of the CSP shall require strong authentication,High
IAM-07.4,The access to all environments of the CSP containing CSC data shall require strong authentication,High
IAM-07.5,"Within an environment, user authentication shall be performed through passwords, digitally signed certificates or procedures that achieve at least an equivalent level of security",Substantial
IAM-07.6,"For access to non-personal shared accounts, the CSP shall implement measures that require the users to be authenticated with their personal account before being able to access these technical accounts",Substantial
IAM-07.7,All authentication mechanisms shall include a mechanism to block an account after a predefined number of unsuccessful attempts,Basic
IAM-07.8,The CSP shall offer strong authentication methods to the CSC for use with the accounts under their responsibility,Substantial
IAM-08.1,"The CSP shall document, communicate and make available to all users under its responsibility rules and recommendations for the management of credentials, including at least:  Non-reuse of credentials  Trade-offs between entropy and ability to memorize  Recommendations for renewal of passwords  Rules on storage of passwords",Basic
IAM-08.2,"The CSP rules and recommendations defined in IAM-08.1 shall address at least the following aspects:  Recommendations on password managers  Recommendation to specifically address classical attacks, including phishing, social attacks, and whaling",Substantial
IAM-08.3,The CSP shall require users to whom authentication credentials are provided to sign a declaration in which they assure that they treat personal (or shared) authentication confidentially and keep it exclusively for themselves,High
IAM-08.4,Passwords shall be only stored using cryptographically strong hash functions (cf. CKM-01),Basic
IAM-08.5,"If cryptographic authentication mechanisms are used, they shall follow the policies and procedures from CKM-01.",Basic
IAM-08.6,"When creating credentials, compliance with specifications is enforced automatically as far as technically possible",Substantial
IAM-08.7,"When a credential associated to a personal account is changed or renewed, the person associated to that account shall be notified",Substantial
IAM-08.8,"Any password communicated to a user through e-mail, message or similar shall be changed by the user after its first use, and its validity shall not exceed 14 days after communication to the user",Substantial
IAM-08.9,"The CSP shall make available to the CSC the rules and recommendations that shall or may apply to the users under their responsibility, and provide the CSC with tools to manage and enforce these rules",Substantial
IAM-09.1,The CSP shall implement sufficient partitioning measures between the information system providing the cloud service and its other information systems,Basic
IAM-09.2,"The CSP shall design, develop, configure and deploy the information system providing the cloud service to include a partitioning between the technical infrastructure and the equipment required for the administration of the cloud service and the assets it hosts",Substantial
IAM-09.3,"The CSP shall separate the administration interfaces made available to CSCs from those made available to its internal and external employees, and in particular:  The administration accounts under the responsibility of the CSP shall be managed using tools and directories that are separate from those used for the management of user accounts under the responsibility of the CSCs;  The administration interfaces made available to CSCs shall not allow for any connection from accounts under the responsibility of the CSP;  The administration interfaces used by the CSP shall not be accessible from the public network and as such shall not allow for any connection from accounts under the responsibility of the CSC.",High
IAM-09.4,The CSP shall implement suitable measures for partitioning between the CSCs,Basic
IAM-09.5,"The CSP shall timely inform a CSC whenever internal or external employees of the CSP access in a non-encrypted form to the CSC's data processed, stored or transmitted in the cloud service without the prior consent of the CSC, including at least:  Cause, time, duration, type and scope of the access;  Enough details to enable subject matters experts of the CSC to assess the risks of the access.",Substantial
IAM-09.6,"The CSP shall require prior consent from a CSC before any access in a non-encrypted form to the CSC's data processed, stored or transmitted in the cloud service, providing meaningful information as defined in IAM-09.5.",High
IAM-09.7,"If the CSP offers to its CSCs interfaces for administrators and for end users, these interfaces shall be separated",Substantial
CKM-01.1,"The CSP shall document, communicate, make available and implement policies with technical and organizational safeguards for encryption and key management, according to ISP-02, in which at least the following aspects are described:  Usage of strong encryption procedures and secure network protocols  Requirements for the secure generation, storage, archiving, retrieval, distribution, withdrawal and deletion of the keys  Consideration of relevant legal and regulatory obligations and requirements",Basic
CKM-01.2,"Cryptography policies and procedures shall include risk-based provisions for the use of encryption aligned with the data classification schemes and considering the communication channel, type, strength and quality of the encryption",Substantial
CKM-01.3,The strong encryption procedures and secure network protocols mentioned in the cryptography policies and procedures shall correspond to the state-of-the-art,Substantial
CKM-02.1,The CSP shall define and implement strong encryption mechanisms for the transmission of cloud customer data over public networks,Basic
CKM-02.2,"The CSP shall define, and implement strong encryption mechanisms for the transmission of all data over public networks December 2020",High
CKM-03.1,The CSP shall document and implement procedures and technical safeguards to encrypt cloud customers' data during storage,Basic
CKM-03.2,"The private and secret keys used for encryption shall be known only to the cloud customer in accordance with applicable legal and regulatory obligations and requirements, with the possibility of exceptions",Substantial
CKM-03.3,"The procedures for the use of private and secret keys, including a specific procedure for any exceptions, shall be contractually agreed with the cloud customer",Substantial
CKM-03.4,The private and secret keys used for encryption shall be known exclusively by the cloud customer and without exceptions in accordance with applicable legal and regulatory obligations and requirements,High
CKM-04.1,Procedures and technical safeguards for secure key management in the area of responsibility of the CSP shall include at least the following aspects:  Generation of keys for different cryptographic systems and applications;  Issuing and obtaining public-key certificates;  Provisioning and activation of the keys;  Secure storage of keys including description of how authorised users get access;  Changing or updating cryptographic keys including policies defining under which conditions and in which manner the changes and/or updates are to be realised;  Handling of compromised keys; and  Withdrawal and deletion of keys;,Basic
CKM-04.2,"For the secure storage of keys, the key management system shall be separated from the application and middleware levels",Substantial
CKM-04.3,"For the secure storage of keys and other secrets used for the administration tasks, the CSP shall use a suitable security container, software or hardware",High
CKM-04.4,"If pre-shared keys are used, the specific provisions relating to the secure use of this procedure shall be specified separately. December 2020",Substantial
CS-01.1,"The CSP shall document, communicate and implement technical safeguards that are suitable to promptly detect and respond to network-based attacks and to ensure the protection of information and information processing systems, in accordance with ISP-02",Basic
CS-01.2,The technical safeguards in CS-01.1 shall be based on the results of a risk analysis carried out according to RM-01.,Substantial
CS-01.3,"The CSP shall feed into a SIEM (Security Information and Event Management) system, all data from the technical safeguards implemented so that automatic countermeasures regarding correlating events are initiated",Substantial
CS-01.4,The CSP shall implement technical safeguards to ensure that no unknown (physical or virtual) devices join its (physical or virtual) network,High
CS-01.5,The CSP shall use different technologies on its technical safeguards to prevent that a single vulnerability leads to the simultaneous breach of several defence lines,High
CS-03.1,"The CSP shall distinguish between trusted and untrusted networks, based on a risk assessment",Basic
CS-03.2,"The CSP shall separate trusted and untrusted networks into different security zones for internal and external network areas (and DMZ, if applicable)",Basic
CS-03.2,The CSP shall design and configure both physical and virtualized network environments to restrict and monitor the connection to trusted or untrusted networks according to the defined security requirements (cf. CS-02),Basic
CS-03.3,"The CSP shall review at specified intervals the business justification for using all services, protocols, and ports. This review shall also include the compensatory measures used for protocols that are considered insecure",Basic
CS-03.4,"The CSP shall review at least annually the design and implementation and configuration undertaken to monitor the connections in a risk-oriented manner, with regard to the defined security requirements",Substantial
CS-03.5,The CSP shall assess the risks of identified vulnerabilities in accordance with the risk management procedure (cf. RM-01) and follow-up measures shall be defined and tracked (cf.OPS-17),Substantial
CS-03.6,The CSP shall protect all SIEM logs to avoid tampering,Substantial
CS-04.1,Each network perimeter shall be controlled by security gateways,Basic
CS-04.2,Security gateways shall only allow legitimate connections identified in a matrix of authorized flows,Substantial
CS-04.3,The system access authorisation for cross-network access shall be based on a security assessment based on the requirements of the cloud customers.,Substantial
CS-04.4,Each network perimeter shall be controlled by redundant and highly available security gateways,High
CS-04.5,The CSP shall automatically monitor the control of the network perimeters to guarantee fulfilment of CS-04.1 December 2020,High
CS-05.1,The CSP shall define and implement separate networks for the administrative management of the infrastructure and the operation of management consoles,Basic
CS-05.2,The CSP shall logically or physically separate the networks for administration from the CSCs’ networks,Basic
CS-05.3,The CSP shall segregate physically or logically the networks used to migrate or create virtual machines,Basic
CS-05.4,"When the administration networks are not physically segregated from other networks, the administration flows must be conveyed in a strongly encrypted tunnel.",High
CS-05.5,The CSP shall set up and configure an application firewall in order to protect the administration interfaces intended for CSCs and exposed over a public network,High
CS-06.1,"The CSP shall define, document and implement segregation mechanisms at network level the data traffic of different cloud customers",Basic
CS-06.2,"When implementing of infrastructure capabilities, the secure segregation shall be ensured by physically separated networks or by strongly encrypted VLANs",High
CS-07.1,The CSP shall maintain up-to-date all documentation of the logical structure of the network used to provision or operate the cloud service,Basic
CS-07.2,"The documentation shall cover, at least, how the subnets are allocated, how the network is zoned and segmented, how it connects with third-party and public networks, and the geographical locations in which the cloud customers' data are stored",Basic
CS-07.3,"In liaison with the inventory of assets (cf. AM-01), the documentation shall include the equipment that provides security functions and the servers that host the data or provide sensitive functions.",Substantial
CS-07.4,The CSP shall perform a full review of the network topology documentation at least once a year,Substantial
CS-08.1,The CSP shall ensure the confidentiality of the cloud user data by suitable procedures when offering functions for software-defined networking (SDN),Basic
CS-08.2,The CSP shall validate the functionality of the SDN functions before providing new SDN features to CSCs or modifying existing SDN features,Basic
CS-08.3,The CSP shall ensure that the configuration of networks matches network security policies regardless of the means used to create the configuration,Substantial
CS-09.1,"The CSP shall document, communicate and implement policies and procedures with technical and organisational safeguards to protect the transmission of data against unauthorised interception, manipulation, copying, modification, redirection or destruction, according to ISP-02",Basic
CS-09.2,The policy and procedures shall include references to the classification of assets (cf. AM-05) December 2020,Substantial
PI-01.1,The cloud service shall be accessible by cloud services from other CSPs or cloud customers’ IT systems through documented inbound and outbound interfaces,Basic
PI-01.2,The interfaces shall be clearly documented for subject matter experts to understand how they can be used to retrieve the data,Basic
PI-01.3,Communication on these interfaces shall use standardised communication protocols that ensure the confidentiality and integrity of the transmitted information according to its protection requirements,Basic
PI-01.4,Communication over untrusted networks shall be encrypted according to CKM-02,Basic
PI-01.5,"The CSP shall allow its customers to verify the interfaces provided (and their security) are adequate for its protection requirements before the start of the use of the cloud service, and each time the interfaces are changed",High
PI-02.1,"The CSP shall include in cloud service contractual agreements, at least, the following aspects concerning the termination of the contractual relationship:  Type, scope and format of the data the CSP provides to the CSC;  Delivery methods of the data to the cloud customer;  Definition of the timeframe, within which the CSP makes the data available to the CSC;  Definition of the point in time as of which the CSP makes the data inaccessible to the CSC and deletes these; and  The CSC's responsibilities and obligations to cooperate for the provision of the data.",Basic
PI-02.2,The definitions in PI-02.1 shall be based on the needs of subject matter experts of potential customers who assess the suitability of the cloud service with regard to a dependency on the CSP as well as legal and regulatory requirements,Substantial
PI-02.3,"The CSP shall identify, at least once a year, legal and regulatory requirements that may apply to these aspects and adjust the contractual agreements accordingly",High
PI-03.1,The CSP shall implement procedures for deleting its customers' data upon termination of their contract in compliance with the contractual agreements between them,Basic
PI-03.2,The CSC's data deletion shall include metadata and data stored in the data backups as well,Basic
PI-03.3,The cloud customer's data deletion procedures shall prevent recovery by forensic means,Substantial
PI-03.4,"The CSP shall document the deletion of the customer’s data, including metadata and data stored in the data backups, in a way allowing the cloud customer to track the deletion of its data",Substantial
PI-03.5,"At the end of the contract, the CSP shall delete the technical data concerning the client",Substantial
CCM-01.1,"The CSP shall document, implement, and communicate policies and procedures for change management of the IT systems supporting the cloud service according to ISP-02",Basic
CCM-01.2,"The change management policies and procedures shall cover at least the following aspects:  Criteria for risk assessment, categorization and prioritization of changes and related requirements for the type and scope of testing to be performed, and necessary approvals;  Requirements for the performance and documentation of tests;  Requirements for segregation of duties during planning, testing, and release of changes;  Requirements for the proper information of cloud customers about the type and scope of the change as well as the resulting obligations to cooperate in accordance with the contractual agreements;  Requirements for the documentation of changes in the system, operational and user documentation; and  Requirements for the implementation and documentation of emergency changes that must comply with the same level of security as normal changes.",Substantial
CCM-02.1,The CSP shall categorize and prioritize changes considering the potential security effects on the system components concerned,Basic
CCM-02.2,The CSP shall base the decision on classification and prioritization on a risk assessment performed in accordance with RM-01 with regard to potential effects on the system components concerned,Substantial
CCM-02.3,"If the risk associated to a planned change is high, then appropriate mitigation measures shall be taken before deploying the service",High
CCM-02.4,"In accordance with contractual agreements, the CSP shall submit to authorised bodies of the CSC meaningful information about the occasion, time, duration, type and scope of the change so that they can carry out their own risk assessment before the change is made available in the production environment",High
COM-02.5,"Regardless of contractual agreements, the CSP shall inform the CSC as mentioned in CCM- 02.3 for changes that have the highest risk category based on their risk assessment December 2020",High
CCM-03.1,The CSP shall test proposed changes before deployment,Basic
CCM-03.2,The type and scope of the tests shall correspond to the risk assessment,Substantial
CCM-03.3,The tests shall be carried out by appropriately qualified employees or by automated test procedures that comply with the state-of-the-art,Substantial
CCM-03.4,"In accordance with contractual requirements, the CSP shall involve CSCs into the tests.",Substantial
CCM-03.5,"The CSP shall first obtain approval from CSC and anonymise customer data before using it for tests, and shall guarantee the confidentiality of the data during the whole process",Substantial
CCM-03.6,"The CSP shall determine the severity of the errors and vulnerabilities identified in the tests that are relevant for the deployment decision according to defined criteria, and shall initiate actions for timely remediation or mitigation",Substantial
CCM-03.7,The tests performed on a change before its deployment shall include tests on the service performed on a pre-production environment,High
CCM-03.8,The CSP shall document and implement a procedure that ensures the integrity of the test data used in pre-production,High
CCM-03.9,"Before deploying changes on a system component, the CSP shall perform regression testing on other components of the cloud service that depend on that system component to verify the absence of undesirable effects",High
CCM-03.10,"The CSP shall automatically monitor the definition and execution of the tests relative to a change, as well as the remediation or mitigation of issues",High
CCM-04.1,"The CSP shall approve any change to the cloud service, based on defined criteria, before they are made available to CSCs in the production environment",Basic
CCM-04.2,The CSP shall involve CSCs in the approval process according to contractual requirements,Substantial
CCM-04.3,The CSP shall automatically monitor the approvals of changes deployed in the production environment to guarantee fulfilment of CCM-04.1,High
CCM-05.1,The CSP shall define roles and rights according to IAM-01 for the authorised personnel or system components who are allowed to make changes to the cloud service in the production environment.,Basic
CCM-05.2,All changes to the cloud service in the production environment shall be logged and shall be traceable back to the individual or system component that initiated the change,Basic
CCM-05.3,The CSP shall automatically monitor changes in the production environment to guarantee fulfilment of CCM-05.1,High
CCM-06.1,The CSP shall implement version control procedures to track the dependencies of individual changes and to restore affected system components back to their previous state as a result of errors or identified vulnerabilities.,Basic
CCM-06.2,"The version control procedures shall provide appropriate safeguards to ensure that the confidentiality, integrity and availability of cloud customer data is not compromised when system components are restored back to their previous state",High
CCM-06.3,"The CSP shall retain a history of the software versions and of the systems that are implemented in order to be able to reconstitute, where applicable in a test environment, a complete environment such as was implemented on a given date; the retention time for this history shall be at least the same as that for backups (cf. OPS-06) December 2020",High
DEV-01.1,"The CSP shall document, communicate and implement policies and procedures according to ISP-02 with technical and organisational measures for the secure development of the cloud service.",Basic
DEV-01.2,The policies and procedures for secure development shall consider information security from the earliest phases of design,Basic
DEV-01.3,"The policies and procedures for secure development shall be based on recognised standards and methods with regard to the following aspects:  Security in Software Development (Requirements, Design, Implementation, Testing and Verification);  Security in software deployment (including continuous delivery);  Security in operation (reaction to identified faults and vulnerabilities); and  Secure coding standards and practices (avoiding the introduction of vulnerabilities in code).",Substantial
DEV-01.4,"The policies and procedures for development shall include measures for the enforcement of specified standards and guidelines, including automated tools",Substantial
DEV-02.1,The CSP shall maintain a list of dependencies to hardware and software products used in the development of its cloud service,Basic
DEV-02.2,The CSP shall document and implement policies for the use of third-party and open source software,Substantial
DEV-02.3,The CSP makes its list of dependencies available to customers upon request,Substantial
DEV-02.4,"In procurement for the development of the cloud service, the CSP shall perform a risk assessment in accordance to RM-01 for every product",High
DEV-03.1,The CSP shall ensure that the confidentiality and integrity of the source code is adequately protected at all stages of development,Basic
DEV-03.2,The CSP shall use version control to keep a history of the changes in source code with an attribution of changes to individual developers,Basic
DEV-03.3,The CSP shall implement a secure development and test environments that makes it possible to manage the entire development cycle of the information system of the cloud service,Substantial
DEV-03.4,The CSP shall consider the development and test environments when performing risk assessment,Substantial
DEV-03.5,The CSP shall include development resources as part of the backup policy,Substantial
DEV-04.1,"The CSP shall ensure that production environments are physically or logically separated from development, test or pre-production environments",Basic
DEV-04.2,"Data contained in the production environments shall not be used in development, test or pre- production environments in order not to compromise their confidentiality",Basic
DEV-04.3,"When non-production environments are exposed through public networks, security requirements shall be equivalent to those defined for production environment",High
DEV-05.1,"The CSP shall document, communicate, make available and implement specific procedures for the development of functions that implement technical mechanisms or safeguards",Basic
DEV-05.2,"Design documentation for security features shall include a specification of expected inputs, outputs and possible errors, as well as a security analysis of the adequacy and planned effectiveness of the feature",Substantial
DEV-05.3,"The tests of the security features shall cover all the specified inputs and all specified outcomes, including all specified error conditions.",Substantial
DEV-05.4,"The documentation of the tests for security features shall include at least a description of the test, the initial conditions, the expected outcome and instructions for running the test.",Substantial
DEV-05.5,"The documentation of the tests shall include a demonstration of the coverage of the source code, including branch coverage for security-critical code. December 2020",High
DEV-06.1,The CSP shall apply appropriate measures to check the cloud service for vulnerabilities that may have been integrated into the cloud service during the development process.,Basic
DEV-06.2,The procedures for identifying vulnerabilities shall be integrated in the development process.,Basic
DEV-06.3,"The procedures shall include the following activities, depending on the risk assessment:  Static Application Security Testing;  Dynamic Application Security Testing;  Code reviews by subject matter experts; and  Obtaining information about confirmed vulnerabilities in software libraries provided by third parties and used in their own cloud service.",Substantial
DEV-06.4,Code reviews shall be regularly performed by qualified personnel or contractors,High
DEV-06.5,The CSP shall assess the severity of identified vulnerabilities according to the criteria defined in OPS-17 and measures are taken to immediately eliminate or mitigate them.,Substantial
DEV-06.6,"The procedures for identifying such vulnerabilities also shall include annual code reviews and security penetration tests by subject matter experts, as part of the annual programme defined in OPS-19",High
DEV-07.1,"When outsourcing development of the cloud service or components thereof to a contractor, the CSP and the contractor shall contractually agree on specifications regarding at least the following aspects:  Security in software development (requirements, design, implementation, tests and verifications) in accordance with recognised standards and methods;  Acceptance testing of the quality of the services provided in accordance with the agreed functional and non-functional requirements; and  Providing evidence that sufficient verifications have been carried out to rule out the existence of known vulnerabilities.",Basic
DEV-07.2,"Before subcontracting the development of the cloud service or components thereof, the CSP shall conduct a risk assessment according to RM-01 that considers at least the following aspects  Management of source code by the subcontractor;  Human resource procedures implemented by the subcontractor; and  Required access to the CSP’s development, testing and pre-production environments.",Substantial
DEV-07.3,"The CSP shall document and implement a procedure that makes it possible to supervise and control the outsourced development activity, in order to ensure that the outsourced development activity is compliant with the secure development policy of the service provider and makes it possible to achieve a level of security of the external development that is equivalent to that of internal development",High
DEV-07.4,Internal or external employees of the CSP shall run the tests that are relevant for the deployment decision when a change includes the result of outsourced development. December 2020,High
PM-01.1,"The CSP shall document, communicate and implement policies and procedures according to ISP-02 for controlling and monitoring third parties whose products or services contribute to the provision of the cloud service:",Basic
PM-01.2,"The policies and procedures defined in PM-01.1 shall cover at least the following aspects:  Requirements for the assessment of risks resulting from the procurement of third-party services;  Requirements for the classification of third parties based on the risk assessment by the CSP;  Information security requirements for the processing, storage, or transmission of information by third parties based on recognized industry standards;  Information security awareness and training requirements for staff;  Applicable legal and regulatory requirements;  Requirements for dealing with vulnerabilities, security incidents, and malfunctions;  Specifications for the contractual agreement of these requirements;  Specifications for the monitoring of these requirements; and  Specifications for applying these requirements also to service providers used by the third parties, insofar as the services provided by these service providers, also contribute to the provision of the cloud service.",Substantial
PM-01.3,The CSP shall contractually require its subservice organizations to provide regular reports by independent auditors on the suitability of the design and operating effectiveness of their,High
PM-01.4,"The reports shall include the complementary subservice organisation controls that are required, together with the controls of the Cloud Service Provider, to meet the applicable",High
PM-01.5,"In case the supplier organizations are not able to provide an EUCS compliance report,  the CSP shall reserve the right to audit them to assess the suitability and effectiveness of the service-related internal and complementary controls by qualified personnel",High
PM-02.1,The CSP shall perform a risk assessment of its suppliers in accordance with the policies and procedures for the control and monitoring of third parties before they start contributing to the provision of the cloud service:,Basic
PM-02.2,"The risk assessment shall include the identification, analysis, evaluation, handling, and documentation of risks concerning the following aspects:  Protection needs regarding the confidentiality, integrity, availability, and authenticity of information processed, stored, or transmitted by the third party;  Impact of a protection breach on the provision of the cloud service;  The CSP's dependence on the service provider or supplier for the scope, complexity, and uniqueness of the purchased service, including the consideration of possible alternatives.",Substantial
PM-02.3,"Following the risk assessment of a subservice provider, the CSP shall define for every (CSOC) to be implemented by the subservice provider",Basic
PM-02.4,"The CSP shall ensure that the subservice provider has implemented the CSOCs, and that the subservice provider has made available evidence supporting the assessment of their effectiveness to the targeted evaluation level",Basic
PM-02.5,"The adequacy of the risk assessment and of the definition of CSOCs shall be reviewed regularly, at least annually",Basic
PM-03.1,The CSP shall maintain a directory for controlling and monitoring the suppliers who contribute to the delivery of the cloud service,Basic
PM-03.2,The directory shall contain the following information:  Company name;  Address;  Locations of data processing and storage;  Responsible contact person at the service provider/supplier;  Responsible contact person at the cloud service provider; Description of the service;  Classification based on the risk assessment;  Beginning of service usage; and  Proof of compliance with contractually agreed requirements.,Substantial
PM-03.3,"The CSP shall verify the directory for completeness, accuracy and validity at least annually",Basic
PM-04.1,The CSP shall monitor the compliance of its suppliers with information security requirements and applicable legal and regulatory requirements in accordance with policies and procedures concerning controlling and monitoring of third-parties,Basic
PM-04.2,"Monitoring activities shall include at least a regular review of the following evidence, as provided by suppliers under contractual agreements:  reports on the quality of the service provided;  certificates of the management systems' compliance with international standards;  independent third-party reports on the suitability and operating effectiveness of their service-related internal control systems; and  Records of the third parties on the handling of vulnerabilities, security incidents, and malfunctions.",Substantial
PM-04.3,"The frequency of the monitoring shall correspond to the classification of the third party based on the risk assessment conducted by the Cloud Service Provider (cf. PM-02), and the results of the monitoring shall be included in the review of the third party's risk assessment.",Basic
PM-04.4,"Identified violations and deviations shall be analysed, evaluated and treated in accordance with the risk management procedure (cf. RM-01)",Basic
PM-04.5,"When a change in a third-party contributing to the delivery of the cloud service affects its level of security, the CSP shall inform all of its CSCs without delay",Basic
PM-04.6,"The CSP shall document and implement a procedure to review and update, at least once a year, non-disclosure or confidentiality requirements regarding suppliers contributing to the delivery of the service",Substantial
