anchor_id,anchor_text,target_id,target_text,source,target,original_file
CCF 140,"Information Security Risk Assessment and developing IT General Control Activities: As part of its annual information security risk assessment, management selects and develops manual and IT general control activities that contribute to the mitigation of identified risks.",op.mon.2,"Metrics system. Taking into account the security category of the system, are the necessary data collected to know the degree of implementation of the security measures that are applicable and, where appropriate, in the case of organizations within the scope of the ENS to provide the annual report required by article 32 (INES Report)?",Cisco,Spanish ENS (EN),training_data_step1_cisco_ens.csv
CCF 177,Unique Customer Identifier and ID: [The Organization] requires unique customer identifiers for customer user accounts and prevents identifier reuse.,op.acc.6,"Authentication mechanisms (organization users). Are access control mechanisms implemented, aligned with the organization's employee/internal user registration and cancellation process?. Are credentials activated only when they are under the user's exclusive and effective control, or is a credential change forced upon first access? Before providing credentials to users, have they known and accepted the organization's security policy in the aspects that affect them? Does the user acknowledge that they have received the credentials and that they know and accept the obligations that their possession entails, in particular, the duty of diligent custody, protection of their confidentiality and immediate notification in the event of loss? Are credentials changed with the periodicity established by the organization's policy? Are credentials removed and disabled when the authenticating entity (person, computer, or process) terminates its relationship with the system? Are credentials disabled or regenerated when their loss or disclosure to unauthorized persons is detected or suspected? Are attacks that could reveal system information without actually accessing it being prevented? Is the information provided in the accesses restricted to the minimum essential? Is the number of allowed attempts limited, blocking the access opportunity once that number is exceeded, requiring the intervention of security administrators to reactivate the account? Does the system inform the user of their obligations immediately after gaining access?",Cisco,Spanish ENS (EN),training_data_step1_cisco_ens.csv
CCF 93,"Cryptographic Algorithm and Methods, Secure Data Transmission Protocols, Encryption at Rest: Approved cryptographic algorithms and methods are used for securing assets with confidential, personal, and sensitive data both at rest and in-transit over public networks. For NIST, FedRAMP, and CMMC, FIPS 140-2 Cryptography method is used to protect data at rest and in transit.",cs-03.1,"The CSP shall distinguish between trusted and untrusted networks, based on a risk assessment",Cisco,EUCS,training_data_step4_cisco_eucs.csv
OIS-04.2,"The CSP shall perform a risk assessment according to RM-01 to assess and treat the risks on any project that may affect the provision of the cloud service, regardless of the nature of the project December 2020",ois-05,"Contact with Relevant Government Agencies and Interest Groups: The Cloud Service Provider leverages relevant authorities and interest groups in order to stay informed about current threats and vulnerabilities. The information flows into the procedures for handling risks (cf. OIS-06) and vulnerabilities (cf. OPS-19). If the cloud service is used by public sector organisations in Germany, the Cloud Service Provider leverages contacts with the National IT Situation Centre and the CERT Association of the BSI.",NewEUCS (Filtered),BSI C5,training_data_step7_neweucs_bsi_filtered.csv
CCF 144,"Confidential Information Agreement: As part of their onboarding process, contingent workers must sign the '[The Organization] Confidential Information Agreement: Individuals (Suppliers, Contractors, Independent Contractors, Consultants, and Partners),' which includes the '[The Organization] Supplier and Independent Consultant Job Practice and Behavior Guide' outlining expected behavior regarding data and information system usage. This agreement prohibits any disclosure of information and other data to which the employee has been granted access.",hr-03.5,The verification of the acknowledgement defined in HR-03.4 shall be automatically monitored in the processes and automated systems used to grant access rights to employees.,Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 28,"SDLC Methodology: A formal [The Organization] development life cycle (SDLC) methodology is in place that governs the development, acquisition, implementation, changes (including emergency changes), and maintenance of information [The Organization] and related technology requirements.",dev-03,SECURE DEVELOPMENT ENVIRONMENT: The development environment takes information security in consideration.,Cisco,BSI C5,training_data_step3_cisco_bsi.csv
CCF 276,Security & Privacy Incident Response: Security incident response policies and procedures are documented and communicated to authorized personnel.,im-01.3,"The CSP shall establish a Computer Emergency Response Team (CERT), which contributes to the coordinated resolution of security incidents",Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 43,"Building Fail-Safe Mechanisms: The supply of the data centers (e. g. water, electricity, temperature and moisture control) is secured, monitored, maintained and tested at regular intervals. The data center has been designed with automatic fail-safe mechanisms and other redundancies. Maintenance is performed by authorized personnel at designated intervals and targets recommended by the suppliers. Maintenance records are stored for the agreed upon time intervals and then properly and permanently destroyed thereafter.",mp.si.3,"Custody. Is security guaranteed in the custody of information media?. Is due diligence and control applied to information media, whether fixed or removable, that remain under the responsibility of the organization, guaranteeing access control through physical or logical measures, as appropriate? Are the manufacturer's maintenance requirements respected, especially with regard to temperature, humidity and other environmental agents? If the custody of media is outsourced to a third entity, has a service contract or agreement been signed stating the security measures applied?",Cisco,Spanish ENS (EN),training_data_step1_cisco_ens.csv
CCF 44,Building Safeguards: Environmental security measures and safeguards are in place to protect the premises or buildings that house sensitive or critical information against environmental threats or threats caused by humans.,ps-01.7,"The security requirements in PS-01.5 shall be based on the security objectives of the information security policy, identified protection requirements for the cloud service and the assessment of risks to physical and environmental security",Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 163,Log Ambiguity: Log data generated allows an unambiguous identification of user accesses at the tenant level to support (forensic) analysis in the event of a security incident.,ops-15,LOGGING AND MONITORING – CONFIGURATION: Access to the logging and monitoring system components and to their configuration is strictly restricted.,Cisco,BSI C5,training_data_step3_cisco_bsi.csv
CCF 107,"Security Management System Risk Assessment Methodology: A documented Information Security Management System Risk Assessment Methodology is in place that includes guidance on the identification of potential threats, rating the significance of the risks associated with the identified threats, and mitigation strategies for those risks, documentation and communication of those risks, as well as possible vulnerabilities within the cloud service provider and their impacts. Upper management, or its designated representative(s), owns this methodology and is responsible for its adherence.",cs-03.4,"The CSP shall review at least annually the design and implementation and configuration undertaken to monitor the connections in a risk-oriented manner, with regard to the defined security requirements",Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 315,"Infrastructure & Application patching: Infrastructure supporting the service, and applications are patched upon availability as a part of routine maintenance and as a result of identified vulnerabilities and supplier supplied patches to help ensure that applications and infrastructure network and system components supporting the service are hardened against security threats.",11.7.b,The service provider must subscribe to maintenance contracts to have the security updates of software installed on service system equipment.,Cisco,SecNumCloud (EN),training_data_step2_cisco_secNumCloud.csv
CCF 199,"Full Time Worker Termination: Upon termination, full-time employee access is revoked for employees in a timely manner.",am-05,"ASSET CLASSIFICATION AND LABELLING: Assets are classified and, if possible, labelled. Classification and labelling of an asset reflect the protection needs of the information it processes, stores, or transmits.",Cisco,BSI C5,training_data_step3_cisco_bsi.csv
CKM-03.1,The CSP shall document and implement procedures and technical safeguards to encrypt cloud customers' data during storage,cry-03,"Encryption of sensitive data for storage: The Cloud Service Provider has established procedures and technical safeguards to encrypt cloud customers´ data during storage. The private keys used for encryption are known only to the cloud customer in accordance with applicable legal and regulatory obligations and requirements. Exceptions follow a specified procedure. The procedures for the use of private keys, including any exceptions, must be contractually agreed with the cloud customer. The private keys used for encryption are known to the customer exclusively and without exception in accordance with applicable legal and regulatory obligations and requirements.",NewEUCS (Filtered),BSI C5,training_data_step7_neweucs_bsi_filtered.csv
CCF 11,"Legal & Regulatory Requirements for Continuity: [The Organization] maintains and documents a process to identify, have access to, and assess applicable legal and regulatory requirements relating to the continuity of its products and services, activities and resources. Such legal and regulatory requirements are reviewed at least annually to ensure the continuity of its products and services, activities and resources. Revision histories and review periods are defined within the documents themselves and Systems Policy Governance Policy.",com-01,"Identification of applicable legal, regulatory, self-imposed or contractual requirements: The legal, regulatory, self-imposed and contractual requirements relevant to the information security of the cloud service as well as the Cloud Service Provider´s procedures for complying with these requirements are explicitly defined and documented.",Cisco,BSI C5,training_data_step3_cisco_bsi.csv
CCF 119,ISMS Boundaries: Information Security Management System (ISMS) boundaries are formally defined in an ISMS scoping document.,ois-01.5,"The documentation shall include at least:  Scope of the ISMS (Section 4.3 of ISO/IEC 27001);  Declaration of applicability (Section 6.1.3), and  Results of the last management review (Section 9.3).",Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 43,"Building Fail-Safe Mechanisms: The supply of the data centers (e. g. water, electricity, temperature and moisture control) is secured, monitored, maintained and tested at regular intervals. The data center has been designed with automatic fail-safe mechanisms and other redundancies. Maintenance is performed by authorized personnel at designated intervals and targets recommended by the suppliers. Maintenance records are stored for the agreed upon time intervals and then properly and permanently destroyed thereafter.",11.3.d,"The service provider must document and implement the means to maintain temperature and humidity conditions adapted to equipment. In addition, it must implement measures to prevent air conditioning failures and limit the consequences.",Cisco,SecNumCloud (EN),training_data_step2_cisco_secNumCloud.csv
CCF 160,Privileged Access to Production: Privileged access to in-scope system components and production environments is restricted to authorized and appropriate users only.,9.3.c,The service provider must keep the inventory of users up to date under its responsibility with administration rights on the resources of the service information system.,Cisco,SecNumCloud (EN),training_data_step2_cisco_secNumCloud.csv
CCF 315,"Infrastructure & Application patching: Infrastructure supporting the service, and applications are patched upon availability as a part of routine maintenance and as a result of identified vulnerabilities and supplier supplied patches to help ensure that applications and infrastructure network and system components supporting the service are hardened against security threats.",dev-06.2,The procedures for identifying vulnerabilities shall be integrated in the development process.,Cisco,EUCS,training_data_step4_cisco_eucs.csv
UserDisableMechanismAfterInactivity,UserDisableMechanismAfterInactivity,IAM-03.2,The automated mechanism in IAM-03.1 shall block personal user accounts under the responsibility of the CSP after two (2) months of inactivity.,Fabasoft Metrics,EUCS (via BSI C5),training_data_step5_fabasoft_eucs.csv
CCF 91,Cryptography Use: [The Organization] communicates to its cloud service customers when cryptography is used to protect the customer data and provides information and cryptographic technologies to cloud service customers to use.,iam-07.1,"The CSP shall document and implement a policy and procedures about authentication mechanisms, covering at least the following aspects:  The selection of mechanisms suitable for every type of account and each level of risk;  The protection of credentials used by the authentication mechanism;  The generation and distribution of credentials for new accounts;  Rules for the renewal of credentials, including periodic renewals, renewals in case of loss or compromise; and  Rules on the required strength of credentials, together with mechanisms to communicate and enforce the rules;",Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 60,Asset Onboarding: New assets to be installed into the secure premises are approved by authorized committees or bodies at [The Organization]. The 'on-boarding' of such assets takes place securely according to the type of the asset.,op.pl.3,"Acquisition of new components. Is planning carried out prior to the acquisition of new system components, taking into account, for example, the obsolescence of those currently in production, the end of contracts, changes in the context, etc.?. Does the acquisition process take into account the conclusions of the risk analysis, or does it result in a new iteration of said analysis having to be carried out, due to the changes it introduces in the information system? For the new components to be acquired, is it verified that they are consistent or compatible with the security architecture implemented or chosen for the organization? Is there a formalized planning process for the acquisition of new components? Does the procurement process take into account financial, training and technical needs (features, configuration, support and maintenance)?",Cisco,Spanish ENS (EN),training_data_step1_cisco_ens.csv
CCF 107,"Security Management System Risk Assessment Methodology: A documented Information Security Management System Risk Assessment Methodology is in place that includes guidance on the identification of potential threats, rating the significance of the risks associated with the identified threats, and mitigation strategies for those risks, documentation and communication of those risks, as well as possible vulnerabilities within the cloud service provider and their impacts. Upper management, or its designated representative(s), owns this methodology and is responsible for its adherence.",pss-03,"Online Register of Known Vulnerabilities: The Cloud Service Provider operates or refers to a daily updated online register of known vulnerabilities that affect the Cloud Service Provider and assets provided by the Cloud Service Provider that the cloud customers have to install, provide or operate themselves under the customers responsibility. The presentation of the vulnerabilities follows the Common Vulnerability Scoring System (CVSS). The online register is easily accessible to any cloud customer. The information contained therein forms a suitable basis for risk assessment and possible follow-up measures on the part of cloud users. For each vulnerability, it is indicated whether software updates (e.g. patch, update) are available, when they will be rolled out and whether they will be deployed by the Cloud Service Provider, the cloud customer or both of them together. Assets provided by the Cloud Service Provider, which must be installed, provided or operated by cloud users within their area of responsibility, are equipped with automatic update mechanisms. After approval by the respective cloud user, software updates can be rolled out in such a way that they can be distributed to all affected users without human interaction.",Cisco,BSI C5,training_data_step3_cisco_bsi.csv
OPS-15.1,The CSP shall restrict to authorized users only the access to system components used for logging and monitoring under their responsibility,ops-16,Logging and Monitoring - Configuration: Access to system components for logging and monitoring in the Cloud Service Provider’s area of responsibility is restricted to authorised users. Changes to the configuration are made in accordance with the applicable policies (cf. DEV-03). Access to system components for logging and monitoring in the Cloud Service Provider´s area of responsibility requires two-factor authentication.,NewEUCS (Filtered),BSI C5,training_data_step7_neweucs_bsi_filtered.csv
CCF 28,"SDLC Methodology: A formal [The Organization] development life cycle (SDLC) methodology is in place that governs the development, acquisition, implementation, changes (including emergency changes), and maintenance of information [The Organization] and related technology requirements.",op.exp.5,"Change management. Are changes made to the information system managed?. Are changes planned to reduce the impact on the provision of affected services? For each change request, is enough information recorded so that whoever must authorize it has no doubts about it and can manage it until it is rejected or implemented? Are pre-production tests, whenever possible, carried out on equipment equivalent to production equipment, at least in the specific aspects of the change? Is it determined through risk analysis whether the changes are relevant to the security of the system? Can it be shown that those changes that imply a HIGH risk situation are explicitly approved, prior to their implementation, by the Security Manager in addition to those with the authority assigned to it? Once a change is implemented, are appropriate acceptance tests carried out? If the acceptance tests are positive, is the configuration documentation (network diagrams, manuals, inventory, etc.) updated, where appropriate?",Cisco,Spanish ENS (EN),training_data_step1_cisco_ens.csv
CCF 25,Backup Location: Systems backups are securely stored in an alternate location from source data.,ops-09.3,"The CSP shall select a remote location to store its backups concerning the distance, recovery times and the impact of disasters of both sites",Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 132,"Policy and Standard Exceptions: A process is in place to request, review, and approve exceptions to policies, standards, and procedures. The assessment of the exception is risk based and the approved exceptions are reviewed at least annually or based on defined frequency as per [The Organization] policies.",ois-02.3,"The CSP shall implement the mitigating measures defined in the risk assessment, privileging separation of duties, unless impossible for organisational or technical reasons, in which case the measures shall include the monitoring of activities in order to detect unauthorised or unintended changes as well as misuse and the subsequent appropriate action",Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 184,Authorized Session Manager: Privileged logical access to trusted data environments is enabled through an authorized session manager; session user activity is recorded and tunneling to untrusted data environments is restricted.,iam-09.2,"The CSP shall design, develop, configure and deploy the information system providing the cloud service to include a partitioning between the technical infrastructure and the equipment required for the administration of the cloud service and the assets it hosts",Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 315,"Infrastructure & Application patching: Infrastructure supporting the service, and applications are patched upon availability as a part of routine maintenance and as a result of identified vulnerabilities and supplier supplied patches to help ensure that applications and infrastructure network and system components supporting the service are hardened against security threats.",ops-04.4,The CSP shall update the anti-malware products at the highest frequency that the vendors actually offer,Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 104,Network & System Hardening: Network and system hardening standards are documented and reviewed at least annually. These standards are deployed to all networks and production [The Organization]. Revision histories and review periods are defined within the documents themselves and the [The Organization] Policy Governance Policy.,12.12.b,"The service provider must put in place hardening measures of the configuration of the terminals used for administration tasks, in particular those in chapter 4.2 entitled ""Safety of the base"" of [nt_admin].",Cisco,SecNumCloud (EN),training_data_step2_cisco_secNumCloud.csv
CCF 316,Software & Firmware Updates: [The Organization] installs security-relevant software and firmware updates per [The Organization] policy; and incorporates flaw remediation into Systems configuration management process.,op.exp.3,"Security configuration management. Is the configuration of system components managed on an ongoing basis?. Is the configuration of system components managed continuously, maintaining the 'minimum functionality' rule at all times? Is the configuration of system components managed continuously, maintaining the 'least privilege' rule at all times? Is the configuration of the system components managed continuously, so that the system adapts to possible new, previously authorized needs? Is the configuration of system components managed continuously, so that the system reacts to possible reported vulnerabilities? Is the configuration of system components managed continuously so that the system reacts to potential incidents? Are the configuration of system components managed on an ongoing basis, so that security settings can only be edited by appropriately authorized personnel?",Cisco,Spanish ENS (EN),training_data_step1_cisco_ens.csv
CCF 161,Limited Audit Trail Access: Audit trails are secured through principles of least privilege to prevent unauthorized access or altering.,12.6.a,The service provider must document and implement a logging policy including at least the following elements: - the list of collection sources,Cisco,SecNumCloud (EN),training_data_step2_cisco_secNumCloud.csv
AM-05.1,"The CSP shall define an asset classification schema that reflects for each asset the protection needs of the information it processes, stores, or transmits",am-06,"Asset Classification and Labelling: Assets are classified and, if possible, labelled. Classification and labelling of an asset reflect the protection needs of the information it processes, stores, or transmits. The need for protection is determined by the individuals or groups responsible for the assets of the Cloud Service Provider according to a uniform schema. The schema provides levels of protection for the confidentiality, integrity, availability, and authenticity protection objectives. Logging and monitoring applications take the asset protection needs into account in order to inform the responsible stakeholder of events that could lead to a violation of the protection goals, so that the necessary measures are taken with an appropriate priority. Actions for events on assets with a higher level of protection take precedence over events on assets with a lower need for protection.",NewEUCS (Filtered),BSI C5,training_data_step7_neweucs_bsi_filtered.csv
AM-03.5,The procedure mentioned in AM.03-4 shall include the complete and permanent deletion of the data or the proper destruction of the media.,am-03,"COMMISSIONING AND DECOMMISSIONING: Procedures for the commissioning and decommissioning of hardware assets used in the provision of the cloud service are documented, communicated and implemented, ensuring the proper configuration before commissioning and the proper deletion of data during decommissioning.",NewEUCS (Filtered),BSI C5,training_data_step7_neweucs_bsi_filtered.csv
NumberOfKnownHighVulnerabilities,NumberOfKnownHighVulnerabilities: The number of detected known vulnerabilities with high rating in the asset,DEV-06.5,The CSP shall assess the severity of identified vulnerabilities according to the criteria defined in OPS-17 and measures are taken to immediately eliminate or mitigate them.,Fabasoft Metrics,EUCS (via BSI C5),training_data_step5_fabasoft_eucs.csv
CCF 43,"Building Fail-Safe Mechanisms: The supply of the data centers (e. g. water, electricity, temperature and moisture control) is secured, monitored, maintained and tested at regular intervals. The data center has been designed with automatic fail-safe mechanisms and other redundancies. Maintenance is performed by authorized personnel at designated intervals and targets recommended by the suppliers. Maintenance records are stored for the agreed upon time intervals and then properly and permanently destroyed thereafter.",11.7.d,"The service provider must document and implement measures to ensure that the conditions of installation, maintenance and maintenance of annexed technical equipment (power supply, air conditioning, fire, etc.) are compatible with the service availability requirements defined in the service agreement.",Cisco,SecNumCloud (EN),training_data_step2_cisco_secNumCloud.csv
CCF 277,Security & Privacy Incident Response: Privacy and human rights incident response policies and procedures are documented and communicated to authorized personnel.,16.1.b,The service provider must inform its employees and all third parties participating in the implementation of the service of this procedure.,Cisco,SecNumCloud (EN),training_data_step2_cisco_secNumCloud.csv
CCF 305,"BU Anti-Malware Technology: Where applicable, [The Organization] has managed antivirus deployments and ensures the following: • signature definitions are updated • full scans are performed monthly and real-time scans are enabled • alerts are reviewed and resolved by authorized personnel",am-02.1,"The CSP shall document, communicate and implement policies and procedures for acceptable use and safe handling of assets (reference to ISP-01)",Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 166,Remote Sessions and logging: Remote access sessions are logged and event logs are retained for review when required.,iam-06.2,"Activities of users with privileged access rights shall be logged in order to detect any misuse of privileged access or function in suspicious cases, and the logged information shall be automatically monitored for defined events that may indicate misuse",Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 325,Cloud Service Legal Jurisdictions: The cloud service provider informs the cloud service customer of the legal jurisdictions governing the cloud service.,doc-05.1,"If the CSP expects CSCs to certify with EUCS their own services based on its cloud service using composition, it shall provide specific documentation for them, based on the Complementary Customer Controls (CCCs) that they have defined",Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 69,"Cloud Service Functionality: Systems cloud service provides customers with details around their service functionality, to allow customers the ability to classify and label the information and associated assets.",doc-05.2,The CSP shall include in the description provided for each CCC a list of actionable,Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 293,Availability Monitoring: Critical [The Organization] are monitored in accordance to predefined availability criteria and alerts are sent to authorized personnel.,ps-06,"Protection against interruptions caused by power failures and other such risks: Measures to prevent the failure of the technical supply facilities required for the operation of system components with which information from cloud customers is processed, are documented and set up in accordance with the security requirements of the Cloud Service Provider (cf. PS-01 Security Concept) with respect to the following aspects: a) Operational redundancy (N+1) in power and cooling supply b) Use of appropriately sized uninterruptible power supplies (UPS) and emergency power systems (NEA), designed to ensure that all data remains undamaged in the event of a power failure. The functionality of UPS and NEA is checked at least annually by suitable tests and exercises (cf. BCM-04 - Verification, updating and testing of business continuity). c) Maintenance (servicing, inspection, repair) of the utilities in accordance with the manufacturer´s recommendations. d) Protection of power supply and telecommunications lines against interruption, interference, damage and eavesdropping. The protection is checked regularly, but at least every two years, as well as in case of suspected manipulation by qualified personnel regarding the following aspects: . Traces of violent attempts to open closed distributors; . Up-to-datedness of the documentation in the distribution list; . Conformity of the actual wiring and patching with the documentation; . The short-circuits and earthing of unneeded cables are intact; and . Impermissible installations and modifications. Uninterruptible Power Supplies (UPS) and Emergency Power Supplies (NPS) are designed to meet the availability requirements defined in the Service Level Agreement. The cooling supply is designed in such a way that the permissible operating and environmental parameters are also ensured on at least five consecutive days with the highest outside temperatures measured to date within a radius of at least 50 km around the locations of the premises and buildings, with a safety margin of 3 K (in relation to the outside temperature). The Cloud Service Provider has previously determined the highest outdoor temperatures measured to date (cf. PS-01 Security Concept). The connection to the telecommunications network is designed with sufficient redundancy so that the failure of a telecommunications network does not impair the security or performance of the Cloud Service Provider.",Cisco,BSI C5,training_data_step3_cisco_bsi.csv
PasswordPolicyComplianceEnforced,"PasswordPolicyComplianceEnforced: When creating a new password, it must be compliant with the password policy.",IAM-08.8,"Any password communicated to a user through e-mail, message or similar shall be changed by the user after its first use, and its validity shall not exceed 14 days after communication to the user",Fabasoft Metrics,EUCS (via BSI C5),training_data_step5_fabasoft_eucs.csv
CCF 104,Network & System Hardening: Network and system hardening standards are documented and reviewed at least annually. These standards are deployed to all networks and production [The Organization]. Revision histories and review periods are defined within the documents themselves and the [The Organization] Policy Governance Policy.,cos-08,"Policies for data transmission: Policies and instructions with technical and organisational safeguards in order to protect the transmission of data against unauthorised interception, manipulation, copying, modification, redirection or destruction are documented, communicated and provided according to SP-01. The policies and instructions establish a reference to the classification of information (cf. AM-06).",Cisco,BSI C5,training_data_step3_cisco_bsi.csv
CCF 82,Customer data removal: Customer data containing confidential and personal information is purged or removed from the application environment (including backups and data shared with other Offer/Product) upon customer request according to [The Organization] policy and/or contractual obligations.,19.4.a,"At the end of the contract binding the service provider and the sponsor, whether the contract has come to an end or for any other cause, the service provider must ensure a secure erasure of all of the data from the sponsor. This erasure must be the subject of formal notice to the sponsor on the part of the service provider with a period of twenty -one calendar days. The erasure can be carried out according to one of the following methods, and this within a period specified in the service agreement: - Erasure by complete rewriting of any medium that hosted this data; - Erasure of the keys used for the encryption of the storage spaces of the sponsor described in chapter 10.1; - secure recycling, under the conditions set out in chapter 11.9.",Cisco,SecNumCloud (EN),training_data_step2_cisco_secNumCloud.csv
NumberOfKnownCriticalVulnerabilities,NumberOfKnownCriticalVulnerabilities: The number of detected known vulnerabilities with critical rating in the asset,DEV-06.2,The procedures for identifying vulnerabilities shall be integrated in the development process.,Fabasoft Metrics,EUCS (via BSI C5),training_data_step5_fabasoft_eucs.csv
CCF 30,"Change Approval and Testing Documentation: Changes to service and supporting infrastructure components of the service are authorized, formally documented, tested, reviewed, and approved prior to being implemented in the production environment.",dev-06.4,Code reviews shall be regularly performed by qualified personnel or contractors,Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 314,"Software Vulnerability Scanning: Existing and emerging software vulnerabilities are detected at least monthly, and a vulnerability scan is included upon every code release. Any vulnerabilities identified are assigned a risk rating and reviewed and remediated accordingly.",dev-06.2,The procedures for identifying vulnerabilities shall be integrated in the development process.,Cisco,EUCS,training_data_step4_cisco_eucs.csv
UsageOfSASTInDevPipeline,UsageOfSASTInDevPipeline: The usage of SAST in the Development Pipeline (e.g. GitHub Actions); The number?,DEV-06.1,The CSP shall apply appropriate measures to check the cloud service for vulnerabilities that may have been integrated into the cloud service during the development process.,Fabasoft Metrics,EUCS (via BSI C5),training_data_step5_fabasoft_eucs.csv
CCF 126,Information Security Policies and Review: Information security policies are documented and define the information security rules and requirements for the service environment. These policies are reviewed at least annually to review requirements and updated as needed. Revision histories and review periods are defined within the policies themselves and the [The Organization] Policy Governance Policy.,5.2.c,The information security policy must in particular cover the themes addressed to chapters 6 to 19 of this repository.,Cisco,SecNumCloud (EN),training_data_step2_cisco_secNumCloud.csv
CCF 36,Change Migrations: Access to migrate changes to production is restricted to authorized personnel. All change migrations are tracked and notifications are sent when changes are migrated to production.,12.10.a,The service provider must document and implement a procedure to control the installation of software on service system equipment.,Cisco,SecNumCloud (EN),training_data_step2_cisco_secNumCloud.csv
CCF 280,"Security Incident Management: All events related to security, confidentiality, and availability are logged, tracked, and triggered on an on-going basis. When events are triggered as incidents, they are evaluated and resolved based on severity levels and communicated to affected parties by management until the [The Organization] has recovered from the incidents.",iam-06.2,"Activities of users with privileged access rights shall be logged in order to detect any misuse of privileged access or function in suspicious cases, and the logged information shall be automatically monitored for defined events that may indicate misuse",Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 296,Supplier sharing agreements and review: Formal Legal Approved information sharing agreements are in place with related critical suppliers. These agreements include confidentiality commitments applicable to that entity.,dev-02,"Outsourcing of the development: In the case of outsourced development of the cloud service (or individual system components), specifications regarding the following aspects are contractually agreed between the Cloud Service Provider and the outsourced development contractor: . Security in software development (requirements, design, implementation, tests and verifications) in accordance with recognised standards and methods; . Acceptance testing of the quality of the services provided in accordance with the agreed functional and non-functional requirements; and . Providing evidence that sufficient verifications have been carried out to rule out the existence of known vulnerabilities.",Cisco,BSI C5,training_data_step3_cisco_bsi.csv
CCF 35,File Integrity Monitoring: A file integrity monitoring (FIM) tool is used to notify system administrators of potential unauthorized changes to the production system.,op.exp.5,"Change management. Are changes made to the information system managed?. Are changes planned to reduce the impact on the provision of affected services? For each change request, is enough information recorded so that whoever must authorize it has no doubts about it and can manage it until it is rejected or implemented? Are pre-production tests, whenever possible, carried out on equipment equivalent to production equipment, at least in the specific aspects of the change? Is it determined through risk analysis whether the changes are relevant to the security of the system? Can it be shown that those changes that imply a HIGH risk situation are explicitly approved, prior to their implementation, by the Security Manager in addition to those with the authority assigned to it? Once a change is implemented, are appropriate acceptance tests carried out? If the acceptance tests are positive, is the configuration documentation (network diagrams, manuals, inventory, etc.) updated, where appropriate?",Cisco,Spanish ENS (EN),training_data_step1_cisco_ens.csv
CCF 168,Access to Production & Multi-Factor Authentication: Access to production [The Organization] is restricted to authorized employees with a valid multi-factor (MFA) token and over an encrypted connection when applicable.,op.acc.5,Authentication mechanisms (external users). Is the security of external user accounts and credentials maintained through access control mechanisms?,Cisco,Spanish ENS (EN),training_data_step1_cisco_ens.csv
CCF 28,"SDLC Methodology: A formal [The Organization] development life cycle (SDLC) methodology is in place that governs the development, acquisition, implementation, changes (including emergency changes), and maintenance of information [The Organization] and related technology requirements.",ois-04.1,"The CSP shall include information security in the project management of all projects that may affect the service, regardless of the nature of the project",Cisco,EUCS,training_data_step4_cisco_eucs.csv
OPS-19.3,The CSP shall assess the penetration test findings and handle each identified vulnerability according to defined policies and procedures (cf. OPS-18).,ops-22,SEPARATION OF DATASETS IN THE CLOUD INFRASTRUCTURE: System components are hardened to reduce their attack surface and eliminate potential attack vectors.,NewEUCS (Filtered),BSI C5,training_data_step7_neweucs_bsi_filtered.csv
CCF 131,"Policies and Standard Review: Systems policies and standards are reviewed, approved by management, and communicated to authorized personnel periodically. Revision histories and review periods are defined within the policies and standards themselves and the [The Organization] Policy Governance Policy.",12.1.a,"The service provider must document the operating procedures, keep them up to date and make them accessible to the staff concerned.",Cisco,SecNumCloud (EN),training_data_step2_cisco_secNumCloud.csv
CCF 317,System Description & Boundaries: [The Organization] has prepared a description of the system and its boundaries and has provided this description to internal and external authorized users.,cs-07.3,"In liaison with the inventory of assets (cf. AM-01), the documentation shall include the equipment that provides security functions and the servers that host the data or provide sensitive functions.",Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 217,"Firewall DMZ: Firewalls configure and utilize a DMZ to limit inbound and outbound traffic to only system components that provide authorized publicly accessible services, protocols, and ports.",cs-05.5,The CSP shall set up and configure an application firewall in order to protect the administration interfaces intended for CSCs and exposed over a public network,Cisco,EUCS,training_data_step4_cisco_eucs.csv
